Wavelength (nm)	285 FbOP-A3Pf13.ems
600.00	0.00031484
601.00	0.00038673
602.00	0.00029566
603.00	0.00030647
604.00	0.00035878
605.00	0.00036770
606.00	0.00035578
607.00	0.00040683
608.00	0.00033617
609.00	0.00058619
610.00	0.00064402
611.00	0.00067722
612.00	0.00066263
613.00	0.00050462
614.00	0.00055692
615.00	0.00044264
616.00	0.00039858
617.00	0.00047851
618.00	0.00044907
619.00	0.00052527
620.00	0.00054397
621.00	0.00053815
622.00	0.00052699
623.00	0.00046612
624.00	0.00045145
625.00	0.00071957
626.00	0.00057322
627.00	0.00062067
628.00	0.00065253
629.00	0.00081850
630.00	0.00078898
631.00	0.00077422
632.00	0.00078986
633.00	0.00085654
634.00	0.00089578
635.00	0.00092407
636.00	0.00097306
637.00	0.00089382
638.00	0.00094313
639.00	0.0010528
640.00	0.0011522
641.00	0.0011603
642.00	0.0010979
643.00	0.0011454
644.00	0.0013156
645.00	0.0014351
646.00	0.0014674
647.00	0.0017090
648.00	0.0017731
649.00	0.0020899
650.00	0.0023099
651.00	0.0023076
652.00	0.0025238
653.00	0.0026998
654.00	0.0030267
655.00	0.0035196
656.00	0.0037621
657.00	0.0038243
658.00	0.0045100
659.00	0.0047130
660.00	0.0058318
661.00	0.0065564
662.00	0.0078938
663.00	0.0089387
664.00	0.010605
665.00	0.013253
666.00	0.017098
667.00	0.020266
668.00	0.024918
669.00	0.030075
670.00	0.036865
671.00	0.045951
672.00	0.056796
673.00	0.070508
674.00	0.087063
675.00	0.10789
676.00	0.13807
677.00	0.17266
678.00	0.22152
679.00	0.27925
680.00	0.34601
681.00	0.42983
682.00	0.52398
683.00	0.61653
684.00	0.71603
685.00	0.80347
686.00	0.88777
687.00	0.94483
688.00	0.98568
689.00	1.0000
690.00	0.99176
691.00	0.95894
692.00	0.91262
693.00	0.85399
694.00	0.77855
695.00	0.70480
696.00	0.62286
697.00	0.55524
698.00	0.48370
699.00	0.42818
700.00	0.37493
701.00	0.32990
702.00	0.29147
703.00	0.26038
704.00	0.23154
705.00	0.20758
706.00	0.18395
707.00	0.16573
708.00	0.14992
709.00	0.13304
710.00	0.11754
711.00	0.10668
712.00	0.094732
713.00	0.086506
714.00	0.076756
715.00	0.072518
716.00	0.066209
717.00	0.062627
718.00	0.058754
719.00	0.054474
720.00	0.053447
721.00	0.053989
722.00	0.050843
723.00	0.050685
724.00	0.047592
725.00	0.046970
726.00	0.047194
727.00	0.045225
728.00	0.045593
729.00	0.045048
730.00	0.046232
731.00	0.045523
732.00	0.046975
733.00	0.047519
734.00	0.047506
735.00	0.048993
736.00	0.050232
737.00	0.050260
738.00	0.050514
739.00	0.052484
740.00	0.050482
741.00	0.050769
742.00	0.050582
743.00	0.049018
744.00	0.047872
745.00	0.048155
746.00	0.048056
747.00	0.045636
748.00	0.044586
749.00	0.044564
750.00	0.042266
751.00	0.041044
752.00	0.040923
753.00	0.039730
754.00	0.040382
755.00	0.039641
756.00	0.038861
757.00	0.040162
758.00	0.040586
759.00	0.039052
760.00	0.040073
761.00	0.041349
762.00	0.039664
763.00	0.040872
764.00	0.039179
765.00	0.039562
766.00	0.038020
767.00	0.036632
768.00	0.036410
769.00	0.034574
770.00	0.035130
771.00	0.032984
772.00	0.031457
773.00	0.029350
774.00	0.027796
775.00	0.026040
776.00	0.024830
777.00	0.023409
778.00	0.023765
779.00	0.021288
780.00	0.021114
781.00	0.019114
782.00	0.019309
783.00	0.017946
784.00	0.017339
785.00	0.015414
786.00	0.014960
787.00	0.013964
788.00	0.013599
789.00	0.012856
790.00	0.011604
791.00	0.012083
792.00	0.012014
793.00	0.010931
794.00	0.010471
795.00	0.010949
796.00	0.011055
797.00	0.010027
798.00	0.0098867
799.00	0.0096398
800.00	0.0094551
