Wavelength (nm)	L285 ZnOP-He3P10 (SE366).ems
551.00	0.00018500
551.20	0.00016978
551.40	0.00011038
551.60	0.00013420
551.80	7.9865e-05
552.00	0.00017679
552.20	0.00016834
552.40	0.00011736
552.60	0.00012251
552.80	0.00014467
553.00	4.7675e-05
553.20	0.00016691
553.40	0.00012948
553.60	0.00014997
553.80	0.00013638
554.00	8.6975e-05
554.20	8.8706e-05
554.40	0.00010238
554.60	0.00011948
554.80	0.00015879
555.00	0.00010418
555.20	0.00015207
555.40	0.00011451
555.60	0.00010599
555.80	9.0641e-05
556.00	6.8433e-05
556.20	0.00018308
556.40	7.8721e-05
556.60	0.00014719
556.80	0.00010442
557.00	0.00015750
557.20	0.00012157
557.40	0.00015240
557.60	0.00010790
557.80	0.00012846
558.00	9.5924e-05
558.20	0.00011651
558.40	9.9388e-05
558.60	9.0836e-05
558.80	0.00011312
559.00	0.00013028
559.20	0.00010801
559.40	6.5157e-05
559.60	0.00014920
559.80	0.00010806
560.00	0.00019728
560.20	6.6915e-05
560.40	0.00010639
560.60	8.2369e-05
560.80	0.00015963
561.00	8.4117e-05
561.20	0.00014428
561.40	0.00011344
561.60	0.00012898
561.80	3.4418e-05
562.00	0.00010331
562.20	0.00013612
562.40	0.00018275
562.60	8.7980e-05
562.80	0.00013982
563.00	7.2542e-05
563.20	8.6408e-05
563.40	0.00013661
563.60	7.4399e-05
563.80	0.00017834
564.00	0.00014725
564.20	0.00013000
564.40	0.00021681
564.60	0.00013538
564.80	0.00012851
565.00	0.00014770
565.20	0.00013213
565.40	0.00013221
565.60	7.1371e-05
565.80	0.00013238
566.00	0.00016209
566.20	0.00016386
566.40	0.00018830
566.60	0.00025807
566.80	0.00012905
567.00	0.00010988
567.20	0.00014479
567.40	0.00010642
567.60	9.4230e-05
567.80	0.00011344
568.00	0.00017804
568.20	8.0309e-05
568.40	0.00010476
568.60	0.00010129
568.80	0.00012575
569.00	0.00017468
569.20	0.00011531
569.40	0.00017473
569.60	8.3884e-05
569.80	0.00011186
570.00	0.00011887
570.20	0.00013462
570.40	0.00012766
570.60	0.00010494
570.80	0.00012594
571.00	9.2710e-05
571.20	0.00012604
571.40	0.00017166
571.60	0.00012444
571.80	0.00021573
572.00	0.00011406
572.20	0.00017208
572.40	0.00014760
572.60	0.00016350
572.80	0.00018825
573.00	0.00020244
573.20	0.00021842
573.40	0.00018154
573.60	0.00018519
573.80	0.00015707
574.00	0.00017835
574.20	0.00019259
574.40	0.00020333
574.60	8.6686e-05
574.80	0.00016993
575.00	0.00018598
575.20	0.00012583
575.40	0.00019686
575.60	9.0491e-05
575.80	0.00012784
576.00	0.00018122
576.20	0.00015462
576.40	0.00016179
576.60	0.00016008
576.80	0.00025622
577.00	0.00024564
577.20	0.00017273
577.40	0.00019238
577.60	0.00017464
577.80	0.00021035
578.00	0.00024967
578.20	0.00017483
578.40	0.00023379
578.60	0.00019817
578.80	0.00020003
579.00	0.00028051
579.20	0.00028062
579.40	0.00027715
579.60	0.00018960
579.80	0.00028271
580.00	0.00022196
580.20	0.00021666
580.40	0.00019347
580.60	0.00023833
580.80	0.00020436
581.00	0.00021699
581.20	0.00029057
581.40	0.00024757
581.60	0.00033017
581.80	0.00027459
582.00	0.00019745
582.20	0.00021185
582.40	0.00029449
582.60	0.00032868
582.80	0.00030178
583.00	0.00028388
583.20	0.00030011
583.40	0.00022647
583.60	0.00030021
583.80	0.00029127
584.00	0.00034528
584.20	0.00041190
584.40	0.00039938
584.60	0.00038326
584.80	0.00034373
585.00	0.00032760
585.20	0.00038528
585.40	0.00038535
585.60	0.00036380
585.80	0.00036207
586.00	0.00036574
586.20	0.00040562
586.40	0.00052492
586.60	0.00049276
586.80	0.00040997
587.00	0.00046804
587.20	0.00047194
587.40	0.00046861
587.60	0.00043993
587.80	0.00038765
588.00	0.00048940
588.20	0.00039537
588.40	0.00043917
588.60	0.00054838
588.80	0.00057598
589.00	0.00048905
589.20	0.00060760
589.40	0.00054243
589.60	0.00064476
589.80	0.00061962
590.00	0.00070934
590.20	0.00059482
590.40	0.00065360
590.60	0.00072159
590.80	0.00064341
591.00	0.00074439
591.20	0.00073009
591.40	0.00074872
591.60	0.00078019
591.80	0.00072555
592.00	0.00075154
592.20	0.00075921
592.40	0.00086229
592.60	0.00089572
592.80	0.00078042
593.00	0.0010582
593.20	0.0010421
593.40	0.00091752
593.60	0.00099887
593.80	0.00099931
594.00	0.00099240
594.20	0.0011881
594.40	0.00095272
594.60	0.0010048
594.80	0.0010255
595.00	0.0010518
595.20	0.0011390
595.40	0.0011746
595.60	0.0011326
595.80	0.0013106
596.00	0.0011188
596.20	0.0011692
596.40	0.0013047
596.60	0.0015291
596.80	0.0013834
597.00	0.0014525
597.20	0.0013344
597.40	0.0014628
597.60	0.0015058
597.80	0.0014546
598.00	0.0016164
598.20	0.0016783
598.40	0.0015304
598.60	0.0017483
598.80	0.0017731
599.00	0.0017904
599.20	0.0019603
599.40	0.0018681
599.60	0.0019562
599.80	0.0017464
600.00	0.0021475
600.20	0.0022172
600.40	0.0021323
600.60	0.0023121
600.80	0.0023111
601.00	0.0023249
601.20	0.0024241
601.40	0.0023532
601.60	0.0023384
601.80	0.0026043
602.00	0.0026966
602.20	0.0027046
602.40	0.0030766
602.60	0.0028500
602.80	0.0029991
603.00	0.0029941
603.20	0.0031229
603.40	0.0033235
603.60	0.0034886
603.80	0.0033500
604.00	0.0036268
604.20	0.0037927
604.40	0.0040193
604.60	0.0038294
604.80	0.0042687
605.00	0.0041585
605.20	0.0043747
605.40	0.0045097
605.60	0.0045990
605.80	0.0048086
606.00	0.0044886
606.20	0.0052061
606.40	0.0051400
606.60	0.0053470
606.80	0.0056596
607.00	0.0055707
607.20	0.0053916
607.40	0.0058451
607.60	0.0059403
607.80	0.0063066
608.00	0.0064755
608.20	0.0061771
608.40	0.0067468
608.60	0.0070263
608.80	0.0071424
609.00	0.0070597
609.20	0.0071953
609.40	0.0076020
609.60	0.0072735
609.80	0.0079579
610.00	0.0079997
610.20	0.0081192
610.40	0.0085477
610.60	0.0087572
610.80	0.0090547
611.00	0.0095201
611.20	0.0091188
611.40	0.0098917
611.60	0.0096501
611.80	0.0099009
612.00	0.010217
612.20	0.010510
612.40	0.010303
612.60	0.010902
612.80	0.011023
613.00	0.011481
613.20	0.011622
613.40	0.011567
613.60	0.011944
613.80	0.011706
614.00	0.012064
614.20	0.012463
614.40	0.012462
614.60	0.012735
614.80	0.012822
615.00	0.013403
615.20	0.013094
615.40	0.013624
615.60	0.014129
615.80	0.013830
616.00	0.013920
616.20	0.014521
616.40	0.014275
616.60	0.014639
616.80	0.014820
617.00	0.015375
617.20	0.015339
617.40	0.016162
617.60	0.016058
617.80	0.016245
618.00	0.016641
618.20	0.016071
618.40	0.017162
618.60	0.017410
618.80	0.017695
619.00	0.018123
619.20	0.018189
619.40	0.019138
619.60	0.019077
619.80	0.019794
620.00	0.020261
620.20	0.021046
620.40	0.021011
620.60	0.021606
620.80	0.021963
621.00	0.022279
621.20	0.023992
621.40	0.024472
621.60	0.024107
621.80	0.025717
622.00	0.026401
622.20	0.026722
622.40	0.028034
622.60	0.028888
622.80	0.029611
623.00	0.030597
623.20	0.032992
623.40	0.032086
623.60	0.034167
623.80	0.034484
624.00	0.036901
624.20	0.038002
624.40	0.038478
624.60	0.040254
624.80	0.041149
625.00	0.043008
625.20	0.043555
625.40	0.045612
625.60	0.047108
625.80	0.049068
626.00	0.050941
626.20	0.052811
626.40	0.054898
626.60	0.055399
626.80	0.058244
627.00	0.059186
627.20	0.061821
627.40	0.064009
627.60	0.065214
627.80	0.068136
628.00	0.072335
628.20	0.073358
628.40	0.076901
628.60	0.080447
628.80	0.083446
629.00	0.084792
629.20	0.089039
629.40	0.092300
629.60	0.097172
629.80	0.10143
630.00	0.10587
630.20	0.11021
630.40	0.11363
630.60	0.11910
630.80	0.12449
631.00	0.13132
631.20	0.13641
631.40	0.14330
631.60	0.14900
631.80	0.15672
632.00	0.16726
632.20	0.17538
632.40	0.18372
632.60	0.19356
632.80	0.20319
633.00	0.21260
633.20	0.22473
633.40	0.23746
633.60	0.25056
633.80	0.26310
634.00	0.27651
634.20	0.28672
634.40	0.30451
634.60	0.31946
634.80	0.33553
635.00	0.34959
635.20	0.36702
635.40	0.38570
635.60	0.40187
635.80	0.42084
636.00	0.43969
636.20	0.45862
636.40	0.47865
636.60	0.49611
636.80	0.51492
637.00	0.53378
637.20	0.55545
637.40	0.57525
637.60	0.59459
637.80	0.61399
638.00	0.63532
638.20	0.65369
638.40	0.67639
638.60	0.69588
638.80	0.71363
639.00	0.73390
639.20	0.75276
639.40	0.77085
639.60	0.78783
639.80	0.80464
640.00	0.82127
640.20	0.83824
640.40	0.85531
640.60	0.86700
640.80	0.88159
641.00	0.89618
641.20	0.90669
641.40	0.91993
641.60	0.93360
641.80	0.94422
642.00	0.95220
642.20	0.96163
642.40	0.96888
642.60	0.97754
642.80	0.98212
643.00	0.98908
643.20	0.99236
643.40	0.99515
643.60	0.99705
643.80	0.99616
644.00	0.99965
644.20	1.00000
644.40	0.99936
644.60	0.99552
644.80	0.99222
645.00	0.98729
645.20	0.98408
645.40	0.97890
645.60	0.97388
645.80	0.96547
646.00	0.96379
646.20	0.95102
646.40	0.94495
646.60	0.93688
646.80	0.93057
647.00	0.91898
647.20	0.90855
647.40	0.89782
647.60	0.88982
647.80	0.87468
648.00	0.86623
648.20	0.85329
648.40	0.84525
648.60	0.83267
648.80	0.81715
649.00	0.80635
649.20	0.79255
649.40	0.78098
649.60	0.76741
649.80	0.75938
650.00	0.74599
650.20	0.73601
650.40	0.72165
650.60	0.70961
650.80	0.69706
651.00	0.68577
651.20	0.67286
651.40	0.66112
651.60	0.65501
651.80	0.64201
652.00	0.63642
652.20	0.62472
652.40	0.61388
652.60	0.60337
652.80	0.59248
653.00	0.58347
653.20	0.57523
653.40	0.56689
653.60	0.55936
653.80	0.55005
654.00	0.54166
654.20	0.53511
654.40	0.53150
654.60	0.52167
654.80	0.51488
655.00	0.50716
655.20	0.50164
655.40	0.49463
655.60	0.49129
655.80	0.48489
656.00	0.47613
656.20	0.47208
656.40	0.46486
656.60	0.45817
656.80	0.45514
657.00	0.44805
657.20	0.44193
657.40	0.43790
657.60	0.42995
657.80	0.42519
658.00	0.41974
658.20	0.41433
658.40	0.40792
658.60	0.40282
658.80	0.39688
659.00	0.39003
659.20	0.38464
659.40	0.37960
659.60	0.37292
659.80	0.36840
660.00	0.36073
660.20	0.35605
660.40	0.35069
660.60	0.34624
660.80	0.33993
661.00	0.33597
661.20	0.32787
661.40	0.32199
661.60	0.31743
661.80	0.31118
662.00	0.30621
662.20	0.30230
662.40	0.29803
662.60	0.28937
662.80	0.28441
663.00	0.27852
663.20	0.27640
663.40	0.27035
663.60	0.26547
663.80	0.25850
664.00	0.25714
664.20	0.24895
664.40	0.24634
664.60	0.24196
664.80	0.24009
665.00	0.23422
665.20	0.22979
