Wavelength (nm)	 205 Zn-2 (SE226) [ZnOP-T5M10]
600.00	0.00089705
601.00	0.0012395
602.00	0.0013876
603.00	0.0013710
604.00	0.0016190
605.00	0.0019870
606.00	0.0021353
607.00	0.0024038
608.00	0.0027054
609.00	0.0029259
610.00	0.0033253
611.00	0.0037383
612.00	0.0039028
613.00	0.0043396
614.00	0.0046820
615.00	0.0049579
616.00	0.0053516
617.00	0.0054949
618.00	0.0060850
619.00	0.0061747
620.00	0.0068707
621.00	0.0077005
622.00	0.0085370
623.00	0.0095897
624.00	0.011484
625.00	0.013590
626.00	0.016632
627.00	0.019709
628.00	0.024268
629.00	0.029945
630.00	0.036323
631.00	0.043157
632.00	0.053206
633.00	0.064574
634.00	0.080311
635.00	0.10450
636.00	0.14040
637.00	0.18937
638.00	0.25639
639.00	0.34760
640.00	0.45547
641.00	0.57890
642.00	0.70545
643.00	0.82639
644.00	0.92305
645.00	0.98214
646.00	1.0000
647.00	0.97797
648.00	0.91727
649.00	0.83389
650.00	0.73858
651.00	0.63717
652.00	0.54422
653.00	0.45969
654.00	0.38925
655.00	0.32746
656.00	0.28406
657.00	0.24697
658.00	0.21924
659.00	0.19754
660.00	0.18045
661.00	0.16682
662.00	0.15334
663.00	0.14226
664.00	0.12797
665.00	0.11881
666.00	0.10914
667.00	0.098640
668.00	0.089099
669.00	0.082360
670.00	0.076307
671.00	0.068932
672.00	0.064698
673.00	0.060894
674.00	0.058745
675.00	0.057137
676.00	0.054713
677.00	0.053323
678.00	0.052043
679.00	0.051579
680.00	0.050393
681.00	0.050607
682.00	0.049765
683.00	0.049769
684.00	0.050340
685.00	0.051603
686.00	0.052478
687.00	0.054280
688.00	0.054820
689.00	0.057402
690.00	0.058406
691.00	0.060202
692.00	0.062573
693.00	0.063384
694.00	0.064606
695.00	0.065360
696.00	0.067114
697.00	0.067597
698.00	0.069051
699.00	0.071304
700.00	0.073062
701.00	0.076307
702.00	0.075675
703.00	0.080404
704.00	0.081980
705.00	0.084434
706.00	0.084490
707.00	0.086890
708.00	0.088344
709.00	0.088416
710.00	0.088247
711.00	0.087978
712.00	0.088700
713.00	0.086004
714.00	0.082137
715.00	0.079251
716.00	0.075870
717.00	0.070365
718.00	0.065993
719.00	0.060287
720.00	0.055510
721.00	0.050230
722.00	0.045727
723.00	0.042093
724.00	0.038295
725.00	0.034873
726.00	0.031107
727.00	0.029254
728.00	0.026662
729.00	0.024119
730.00	0.021496
731.00	0.021103
732.00	0.019069
733.00	0.017053
734.00	0.016090
735.00	0.014820
736.00	0.014271
737.00	0.013385
738.00	0.012549
739.00	0.012079
740.00	0.010360
741.00	0.010929
742.00	0.010215
743.00	0.0096518
744.00	0.0089601
745.00	0.0095123
746.00	0.0090824
747.00	0.0090137
748.00	0.0082017
749.00	0.0086342
750.00	0.0077796
751.00	0.0081498
752.00	0.0082136
753.00	0.0071269
754.00	0.0073780
755.00	0.0069766
756.00	0.0070039
757.00	0.0073178
758.00	0.0071608
759.00	0.0067669
760.00	0.0068852
761.00	0.0074855
762.00	0.0062016
763.00	0.0074642
764.00	0.0068265
765.00	0.0072651
766.00	0.0071076
767.00	0.0072454
768.00	0.0068765
769.00	0.0070910
770.00	0.0061232
771.00	0.0063378
772.00	0.0067690
773.00	0.0065298
774.00	0.0067097
775.00	0.0061480
776.00	0.0061558
777.00	0.0069533
778.00	0.0062438
779.00	0.0055957
780.00	0.0059457
781.00	0.0058883
782.00	0.0058629
783.00	0.0056905
784.00	0.0054812
785.00	0.0047218
786.00	0.0048803
787.00	0.0061259
788.00	0.0056791
789.00	0.0047459
790.00	0.0050249
791.00	0.0047661
792.00	0.0045972
793.00	0.0043511
794.00	0.0038542
795.00	0.0044484
796.00	0.0044785
797.00	0.0043948
798.00	0.0035191
799.00	0.0035389
800.00	0.0034676
