Wavelength (nm)	 205 2 (SE210) [H2OP-T5M10]
300.00	0.17270
301.00	0.17574
302.00	0.17892
303.00	0.18236
304.00	0.18586
305.00	0.18929
306.00	0.19291
307.00	0.19646
308.00	0.19981
309.00	0.20265
310.00	0.20464
311.00	0.20669
312.00	0.20809
313.00	0.20921
314.00	0.21028
315.00	0.21150
316.00	0.21338
317.00	0.21626
318.00	0.22000
319.00	0.22438
320.00	0.22912
321.00	0.23420
322.00	0.23858
323.00	0.24199
324.00	0.24374
325.00	0.24344
326.00	0.24120
327.00	0.23718
328.00	0.23178
329.00	0.22501
330.00	0.21797
331.00	0.21096
332.00	0.20475
333.00	0.19894
334.00	0.19424
335.00	0.19047
336.00	0.18765
337.00	0.18556
338.00	0.18413
339.00	0.18322
340.00	0.18289
341.00	0.18313
342.00	0.18355
343.00	0.18461
344.00	0.18577
345.00	0.18739
346.00	0.18896
347.00	0.19102
348.00	0.19338
349.00	0.19592
350.00	0.19869
351.00	0.20157
352.00	0.20524
353.00	0.20919
354.00	0.21363
355.00	0.21833
356.00	0.22335
357.00	0.22877
358.00	0.23385
359.00	0.23945
360.00	0.24504
361.00	0.25085
362.00	0.25657
363.00	0.26313
364.00	0.26987
365.00	0.27694
366.00	0.28435
367.00	0.29266
368.00	0.30227
369.00	0.31321
370.00	0.32469
371.00	0.33668
372.00	0.34849
373.00	0.36099
374.00	0.37417
375.00	0.38853
376.00	0.40246
377.00	0.41656
378.00	0.43006
379.00	0.44205
380.00	0.45175
381.00	0.45948
382.00	0.46397
383.00	0.46613
384.00	0.46659
385.00	0.46639
386.00	0.46591
387.00	0.46629
388.00	0.46749
389.00	0.47059
390.00	0.47581
391.00	0.48269
392.00	0.49052
393.00	0.49822
394.00	0.50599
395.00	0.51325
396.00	0.52132
397.00	0.52921
398.00	0.53737
399.00	0.54544
400.00	0.55478
401.00	0.56766
402.00	0.58351
403.00	0.60254
404.00	0.62582
405.00	0.65305
406.00	0.68359
407.00	0.71708
408.00	0.75401
409.00	0.79361
410.00	0.83164
411.00	0.86888
412.00	0.90650
413.00	0.93716
414.00	0.96052
415.00	0.98095
416.00	0.99442
417.00	1.0000
418.00	0.99997
419.00	0.99271
420.00	0.97986
421.00	0.96394
422.00	0.94643
423.00	0.93198
424.00	0.91910
425.00	0.90970
426.00	0.90548
427.00	0.90657
428.00	0.91113
429.00	0.91771
430.00	0.92494
431.00	0.92965
432.00	0.93045
433.00	0.92521
434.00	0.91413
435.00	0.89596
436.00	0.86993
437.00	0.83475
438.00	0.78938
439.00	0.73360
440.00	0.66837
441.00	0.59444
442.00	0.52233
443.00	0.45017
444.00	0.37953
445.00	0.31678
446.00	0.26081
447.00	0.21369
448.00	0.17451
449.00	0.14187
450.00	0.11621
451.00	0.096365
452.00	0.080600
453.00	0.068430
454.00	0.059104
455.00	0.051842
456.00	0.046442
457.00	0.042578
458.00	0.039590
