Wavelength (nm)	258 FbOP-T5M10Br20 abs	C	D	E	F	G	H	I	J
300.00	0.13716								
301.00	0.14010								
302.00	0.14252								
303.00	0.14503								
304.00	0.14738								
305.00	0.15005								
306.00	0.15297								
307.00	0.15540								
308.00	0.15813								
309.00	0.16076								
310.00	0.16371								
311.00	0.16664								
312.00	0.16988								
313.00	0.17317								
314.00	0.17628								
315.00	0.17912								
316.00	0.18230								
317.00	0.18495								
318.00	0.18718								
319.00	0.18972								
320.00	0.19158								
321.00	0.19364								
322.00	0.19557								
323.00	0.19791								
324.00	0.19983								
325.00	0.20277								
326.00	0.20654								
327.00	0.20998								
328.00	0.21394								
329.00	0.21874								
330.00	0.22281								
331.00	0.22705								
332.00	0.23009								
333.00	0.23227								
334.00	0.23241								
335.00	0.23036								
336.00	0.22682								
337.00	0.22172								
338.00	0.21561								
339.00	0.20947								
340.00	0.20348								
341.00	0.19779								
342.00	0.19269								
343.00	0.18868								
344.00	0.18585								
345.00	0.18396								
346.00	0.18167								
347.00	0.18047								
348.00	0.17997								
349.00	0.17968								
350.00	0.17969								
351.00	0.17987								
352.00	0.18035								
353.00	0.18071								
354.00	0.18193								
355.00	0.18323								
356.00	0.18505								
357.00	0.18681								
358.00	0.18918								
359.00	0.19196								
360.00	0.19531								
361.00	0.19930								
362.00	0.20451								
363.00	0.21019								
364.00	0.21547								
365.00	0.22161								
366.00	0.22782								
367.00	0.23462								
368.00	0.24146								
369.00	0.24907								
370.00	0.25615								
371.00	0.26429								
372.00	0.27224								
373.00	0.28041								
374.00	0.28967								
375.00	0.29937								
376.00	0.30745								
377.00	0.31793								
378.00	0.32945								
379.00	0.33968								
380.00	0.35028								
381.00	0.36358								
382.00	0.37755								
383.00	0.39019								
384.00	0.40320								
385.00	0.41609								
386.00	0.42887								
387.00	0.43988								
388.00	0.44986								
389.00	0.45725								
390.00	0.46568								
391.00	0.47143								
392.00	0.47578								
393.00	0.47822								
394.00	0.48124								
395.00	0.48545								
396.00	0.49028								
397.00	0.49531								
398.00	0.50062								
399.00	0.50481								
400.00	0.51122								
401.00	0.51775								
402.00	0.52595								
403.00	0.53468								
404.00	0.54441								
405.00	0.55621								
406.00	0.56716								
407.00	0.58089								
408.00	0.59844								
409.00	0.61741								
410.00	0.63862								
411.00	0.66415								
412.00	0.69571								
413.00	0.72674								
414.00	0.75728								
415.00	0.79274								
416.00	0.82926								
417.00	0.86582								
418.00	0.90093								
419.00	0.93250								
420.00	0.96074								
421.00	0.98265								
422.00	0.99413								
423.00	1.0000								
424.00	0.99738								
425.00	0.98612								
426.00	0.96548								
427.00	0.93856								
428.00	0.90782								
429.00	0.87647								
430.00	0.84325								
431.00	0.81513								
432.00	0.78974								
433.00	0.76607								
434.00	0.74677								
435.00	0.73257								
436.00	0.71930								
437.00	0.70919								
438.00	0.69957								
439.00	0.68984								
440.00	0.68205								
441.00	0.67370								
442.00	0.66542								
443.00	0.66016								
444.00	0.65134								
445.00	0.63895								
446.00	0.61964								
447.00	0.59029								
448.00	0.55079								
449.00	0.50293								
450.00	0.44993								
451.00	0.39587								
452.00	0.34186								
453.00	0.29157								
454.00	0.24615								
455.00	0.20500								
456.00	0.17146								
457.00	0.14257								
458.00	0.11857								
459.00	0.099912								
460.00	0.085470								
461.00	0.073878								
462.00	0.065147								
463.00	0.057738								
464.00	0.052056								
465.00	0.046980								
466.00	0.042740								
467.00	0.040334								
468.00	0.038449								
469.00	0.037003								
470.00	0.035553								
