Wavelength (nm)	387 22
300.00	0.21875
301.00	0.21770
302.00	0.21458
303.00	0.21086
304.00	0.20711
305.00	0.20264
306.00	0.19796
307.00	0.19354
308.00	0.18915
309.00	0.18555
310.00	0.18226
311.00	0.17894
312.00	0.17645
313.00	0.17476
314.00	0.17316
315.00	0.17243
316.00	0.17188
317.00	0.17210
318.00	0.17252
319.00	0.17332
320.00	0.17437
321.00	0.17476
322.00	0.17589
323.00	0.17611
324.00	0.17655
325.00	0.17695
326.00	0.17716
327.00	0.17720
328.00	0.17700
329.00	0.17701
330.00	0.17707
331.00	0.17765
332.00	0.17808
333.00	0.17864
334.00	0.17992
335.00	0.18140
336.00	0.18316
337.00	0.18559
338.00	0.18859
339.00	0.19171
340.00	0.19552
341.00	0.19992
342.00	0.20483
343.00	0.21035
344.00	0.21654
345.00	0.22286
346.00	0.22957
347.00	0.23662
348.00	0.24350
349.00	0.25049
350.00	0.25700
351.00	0.26293
352.00	0.26836
353.00	0.27326
354.00	0.27772
355.00	0.28187
356.00	0.28601
357.00	0.29003
358.00	0.29382
359.00	0.29795
360.00	0.30225
361.00	0.30723
362.00	0.31300
363.00	0.31891
364.00	0.32433
365.00	0.32896
366.00	0.33422
367.00	0.33929
368.00	0.34330
369.00	0.34795
370.00	0.35154
371.00	0.35481
372.00	0.35795
373.00	0.36091
374.00	0.36336
375.00	0.36584
376.00	0.36780
377.00	0.37013
378.00	0.37252
379.00	0.37456
380.00	0.37805
381.00	0.38294
382.00	0.38818
383.00	0.39438
384.00	0.40199
385.00	0.41077
386.00	0.42109
387.00	0.43313
388.00	0.44713
389.00	0.46160
390.00	0.47819
391.00	0.49590
392.00	0.51448
393.00	0.53342
394.00	0.55185
395.00	0.56885
396.00	0.58759
397.00	0.60478
398.00	0.62092
399.00	0.63539
400.00	0.64930
401.00	0.66255
402.00	0.67472
403.00	0.68782
404.00	0.70087
405.00	0.71583
406.00	0.73168
407.00	0.74997
408.00	0.77123
409.00	0.79505
410.00	0.82109
411.00	0.84760
412.00	0.87547
413.00	0.90140
414.00	0.92407
415.00	0.94636
416.00	0.96630
417.00	0.98272
418.00	0.99382
419.00	1.0000
420.00	0.99632
421.00	0.98190
422.00	0.95510
423.00	0.91424
424.00	0.86453
425.00	0.80075
426.00	0.72934
427.00	0.65091
428.00	0.58362
429.00	0.51141
430.00	0.44647
431.00	0.39100
432.00	0.34222
433.00	0.29816
434.00	0.26260
435.00	0.23443
436.00	0.20927
437.00	0.18889
438.00	0.17182
439.00	0.15749
440.00	0.14533
441.00	0.13425
442.00	0.12518
443.00	0.11703
444.00	0.10972
445.00	0.10308
446.00	0.097174
447.00	0.091726
448.00	0.086686
449.00	0.081656
450.00	0.077428
451.00	0.073497
452.00	0.069636
453.00	0.066167
454.00	0.063021
455.00	0.059975
456.00	0.057123
457.00	0.054389
458.00	0.052125
459.00	0.049661
460.00	0.047632
461.00	0.045535
462.00	0.043699
463.00	0.041935
464.00	0.040033
465.00	0.038623
466.00	0.037026
467.00	0.035930
468.00	0.034757
469.00	0.033839
470.00	0.032896
471.00	0.031591
472.00	0.030980
473.00	0.030824
474.00	0.030023
475.00	0.029605
476.00	0.029082
477.00	0.029018
478.00	0.028510
479.00	0.027850
480.00	0.027537
481.00	0.027431
482.00	0.026978
483.00	0.026833
484.00	0.026344
485.00	0.027211
486.00	0.025351
487.00	0.025494
488.00	0.024768
489.00	0.024654
490.00	0.024051
491.00	0.023653
492.00	0.023077
493.00	0.022925
494.00	0.022482
495.00	0.022114
496.00	0.021970
497.00	0.021884
498.00	0.021804
499.00	0.021699
500.00	0.021791
501.00	0.021762
502.00	0.022000
503.00	0.022515
504.00	0.022758
505.00	0.023536
506.00	0.024299
507.00	0.024976
508.00	0.025667
509.00	0.026687
510.00	0.027644
511.00	0.028312
512.00	0.029020
513.00	0.029830
514.00	0.030608
515.00	0.031244
516.00	0.031676
517.00	0.032231
518.00	0.032274
519.00	0.032712
520.00	0.033075
521.00	0.033199
522.00	0.032935
523.00	0.033098
524.00	0.032816
525.00	0.032681
526.00	0.032424
527.00	0.032084
528.00	0.031983
529.00	0.031703
530.00	0.031513
531.00	0.031164
532.00	0.030803
533.00	0.031083
534.00	0.031356
535.00	0.031666
536.00	0.031919
537.00	0.032444
538.00	0.033313
539.00	0.034152
540.00	0.035222
541.00	0.036274
542.00	0.037203
543.00	0.038337
544.00	0.039243
545.00	0.040126
546.00	0.040825
547.00	0.041846
548.00	0.042525
549.00	0.043294
550.00	0.044193
551.00	0.044875
552.00	0.045671
553.00	0.046475
554.00	0.046938
555.00	0.047812
556.00	0.048293
557.00	0.049030
558.00	0.049460
559.00	0.049918
560.00	0.050551
561.00	0.050923
562.00	0.051173
563.00	0.051483
564.00	0.051470
565.00	0.051467
566.00	0.051366
567.00	0.050928
568.00	0.050558
569.00	0.049889
570.00	0.049317
571.00	0.048503
572.00	0.047439
573.00	0.046461
574.00	0.045385
575.00	0.044352
576.00	0.043755
577.00	0.043325
578.00	0.042840
579.00	0.042929
580.00	0.043416
581.00	0.044556
582.00	0.045799
583.00	0.047513
584.00	0.050240
585.00	0.053137
586.00	0.056217
587.00	0.060154
588.00	0.063959
589.00	0.067300
590.00	0.070891
591.00	0.074321
592.00	0.077757
593.00	0.080807
594.00	0.083419
595.00	0.085786
596.00	0.087815
597.00	0.089575
598.00	0.090863
599.00	0.092035
600.00	0.092770
601.00	0.093080
602.00	0.092930
603.00	0.092638
604.00	0.091659
605.00	0.090300
606.00	0.088590
607.00	0.086424
608.00	0.084089
609.00	0.081544
610.00	0.079210
611.00	0.076692
612.00	0.074364
613.00	0.072577
614.00	0.070903
615.00	0.069792
616.00	0.068776
617.00	0.068536
618.00	0.068637
619.00	0.069149
620.00	0.070171
621.00	0.071542
622.00	0.074085
623.00	0.077158
624.00	0.081467
625.00	0.086759
626.00	0.093716
627.00	0.10196
628.00	0.11152
629.00	0.12274
630.00	0.13529
631.00	0.14939
632.00	0.16548
633.00	0.18318
634.00	0.20363
635.00	0.22617
636.00	0.25141
637.00	0.28075
638.00	0.31422
639.00	0.35007
640.00	0.38911
641.00	0.42998
642.00	0.47062
643.00	0.51227
644.00	0.54960
645.00	0.58008
646.00	0.60026
647.00	0.60978
648.00	0.60599
649.00	0.59000
650.00	0.56296
651.00	0.52527
652.00	0.48201
653.00	0.43312
654.00	0.38519
655.00	0.32825
656.00	0.28519
657.00	0.24863
658.00	0.21080
659.00	0.17479
660.00	0.14544
661.00	0.12017
662.00	0.099443
663.00	0.082292
664.00	0.068363
665.00	0.056860
666.00	0.047517
667.00	0.039671
668.00	0.033256
669.00	0.027961
670.00	0.023823
671.00	0.020174
672.00	0.017083
673.00	0.014540
674.00	0.012461
675.00	0.010641
676.00	0.0092001
677.00	0.0079316
678.00	0.0067678
679.00	0.0059557
680.00	0.0052124
681.00	0.0044190
682.00	0.0039330
683.00	0.0033799
684.00	0.0030723
685.00	0.0027486
686.00	0.0026196
687.00	0.0023027
688.00	0.0022502
689.00	0.0019395
690.00	0.0019976
691.00	0.0019745
692.00	0.0018182
693.00	0.0019417
694.00	0.0018207
695.00	0.0017502
696.00	0.0018695
697.00	0.0019474
698.00	0.0018864
699.00	0.0018976
700.00	0.0018902
