Wavelength (nm)	392 C-1.ems
650.00	0.0076100
651.00	0.0090146
652.00	0.0097779
653.00	0.010828
654.00	0.010997
655.00	0.011637
656.00	0.011369
657.00	0.012605
658.00	0.012109
659.00	0.012715
660.00	0.013116
661.00	0.013657
662.00	0.012487
663.00	0.014335
664.00	0.013462
665.00	0.013480
666.00	0.014006
667.00	0.014373
668.00	0.013634
669.00	0.014731
670.00	0.015744
671.00	0.016935
672.00	0.019785
673.00	0.022518
674.00	0.026620
675.00	0.033519
676.00	0.036332
677.00	0.044945
678.00	0.056501
679.00	0.072306
680.00	0.088532
681.00	0.11541
682.00	0.14643
683.00	0.18190
684.00	0.23489
685.00	0.29367
686.00	0.36766
687.00	0.45722
688.00	0.54166
689.00	0.63918
690.00	0.73930
691.00	0.82640
692.00	0.90368
693.00	0.96590
694.00	0.99917
695.00	1.0000
696.00	0.98508
697.00	0.94772
698.00	0.89490
699.00	0.81213
700.00	0.73013
701.00	0.65752
702.00	0.57556
703.00	0.50257
704.00	0.43731
705.00	0.38912
706.00	0.32855
707.00	0.27889
708.00	0.25268
709.00	0.21538
710.00	0.19107
711.00	0.16894
712.00	0.14935
713.00	0.13572
714.00	0.11921
715.00	0.10930
716.00	0.098252
717.00	0.089943
718.00	0.084023
719.00	0.079785
720.00	0.073372
721.00	0.069992
722.00	0.070235
723.00	0.068165
724.00	0.065462
725.00	0.060979
726.00	0.063481
727.00	0.060215
728.00	0.060806
729.00	0.057044
730.00	0.061450
731.00	0.059966
732.00	0.060120
733.00	0.061173
734.00	0.061862
735.00	0.060103
736.00	0.063077
737.00	0.060169
738.00	0.063103
739.00	0.059648
740.00	0.062371
741.00	0.064587
742.00	0.061920
743.00	0.063733
744.00	0.063264
745.00	0.063106
746.00	0.064301
747.00	0.058693
748.00	0.055269
749.00	0.054195
750.00	0.051694
751.00	0.050548
752.00	0.052207
753.00	0.051985
754.00	0.051415
755.00	0.047584
756.00	0.046827
757.00	0.043804
758.00	0.044488
759.00	0.043983
760.00	0.041899
761.00	0.040918
762.00	0.035547
763.00	0.039438
764.00	0.037432
765.00	0.035906
766.00	0.036319
767.00	0.037650
768.00	0.034587
769.00	0.037673
770.00	0.035869
771.00	0.030464
772.00	0.036902
773.00	0.032297
774.00	0.032392
775.00	0.032951
776.00	0.032570
777.00	0.033605
778.00	0.032307
779.00	0.033226
780.00	0.026981
781.00	0.029212
782.00	0.025873
783.00	0.029438
784.00	0.028319
785.00	0.027119
786.00	0.026922
787.00	0.025174
788.00	0.027874
789.00	0.025843
790.00	0.024308
791.00	0.021103
792.00	0.022454
793.00	0.020781
794.00	0.020849
795.00	0.021190
796.00	0.019094
797.00	0.018362
798.00	0.018890
799.00	0.015626
800.00	0.018086
