Wavelength (nm)	236 FbC1-PO3H2 (SE266) abs
350.00	0.15966
350.20	0.16175
350.40	0.16282
350.60	0.16186
350.80	0.16245
351.00	0.16498
351.20	0.16517
351.40	0.16523
351.60	0.16596
351.80	0.16670
352.00	0.16693
352.20	0.16839
352.40	0.16907
352.60	0.16929
352.80	0.17012
353.00	0.17144
353.20	0.17102
353.40	0.17119
353.60	0.17328
353.80	0.17318
354.00	0.17351
354.20	0.17360
354.40	0.17488
354.60	0.17468
354.80	0.17478
355.00	0.17656
355.20	0.17677
355.40	0.17663
355.60	0.17852
355.80	0.17880
356.00	0.17842
356.20	0.17900
356.40	0.18016
356.60	0.18049
356.80	0.18109
357.00	0.18209
357.20	0.18182
357.40	0.18202
357.60	0.18302
357.80	0.18421
358.00	0.18326
358.20	0.18430
358.40	0.18532
358.60	0.18456
358.80	0.18516
359.00	0.18622
359.20	0.18641
359.40	0.18611
359.60	0.18702
359.80	0.18780
360.00	0.18732
360.20	0.18838
360.40	0.18925
360.60	0.18955
360.80	0.18906
361.00	0.19152
361.20	0.19128
361.40	0.19168
361.60	0.19324
361.80	0.19386
362.00	0.19292
362.20	0.19482
362.40	0.19585
362.60	0.19587
362.80	0.19590
363.00	0.19778
363.20	0.19809
363.40	0.19837
363.60	0.19987
363.80	0.20134
364.00	0.20087
364.20	0.20251
364.40	0.20374
364.60	0.20449
364.80	0.20537
365.00	0.20715
365.20	0.20778
365.40	0.20825
365.60	0.21018
365.80	0.21139
366.00	0.21149
366.20	0.21299
366.40	0.21495
366.60	0.21530
366.80	0.21656
367.00	0.21884
367.20	0.22018
367.40	0.22100
367.60	0.22310
367.80	0.22541
368.00	0.22571
368.20	0.22784
368.40	0.23054
368.60	0.23170
368.80	0.23331
369.00	0.23615
369.20	0.23796
369.40	0.23920
369.60	0.24213
369.80	0.24453
370.00	0.24787
370.20	0.25040
370.40	0.25255
370.60	0.25560
370.80	0.25906
371.00	0.26142
371.20	0.26447
371.40	0.26827
371.60	0.27148
371.80	0.27444
372.00	0.27837
372.20	0.28232
372.40	0.28597
372.60	0.29007
372.80	0.29495
373.00	0.29810
373.20	0.30275
373.40	0.30770
373.60	0.31266
373.80	0.31726
374.00	0.32284
374.20	0.32829
374.40	0.33339
374.60	0.33867
374.80	0.34542
375.00	0.35061
375.20	0.35646
375.40	0.36309
375.60	0.36977
375.80	0.37503
376.00	0.38185
376.20	0.38955
376.40	0.39541
376.60	0.40196
376.80	0.41012
377.00	0.41667
377.20	0.42352
377.40	0.43133
377.60	0.43914
377.80	0.44571
378.00	0.45400
378.20	0.46136
378.40	0.46859
378.60	0.47691
378.80	0.48429
379.00	0.49186
379.20	0.49904
379.40	0.50727
379.60	0.51453
379.80	0.52140
380.00	0.52904
380.20	0.53671
380.40	0.54285
380.60	0.54971
380.80	0.55715
381.00	0.56297
381.20	0.56873
381.40	0.57529
381.60	0.58161
381.80	0.58634
382.00	0.59209
382.20	0.59765
382.40	0.60146
382.60	0.60556
382.80	0.61116
383.00	0.61467
383.20	0.61759
383.40	0.62231
383.60	0.62593
383.80	0.62826
384.00	0.63127
384.20	0.63475
384.40	0.63667
384.60	0.63908
384.80	0.64274
385.00	0.64409
385.20	0.64599
385.40	0.64867
385.60	0.65088
385.80	0.65242
386.00	0.65424
386.20	0.65733
386.40	0.65869
386.60	0.66040
386.80	0.66335
387.00	0.66538
387.20	0.66726
387.40	0.67045
387.60	0.67275
387.80	0.67471
388.00	0.67795
388.20	0.68111
388.40	0.68338
388.60	0.68714
388.80	0.69082
389.00	0.69432
389.20	0.69797
389.40	0.70293
389.60	0.70764
389.80	0.71142
390.00	0.71715
390.20	0.72243
390.40	0.72758
390.60	0.73360
390.80	0.74021
391.00	0.74622
391.20	0.75244
391.40	0.75992
391.60	0.76739
391.80	0.77379
392.00	0.78143
392.20	0.79029
392.40	0.79754
392.60	0.80608
392.80	0.81498
393.00	0.82331
393.20	0.83139
393.40	0.84122
393.60	0.85070
393.80	0.85925
394.00	0.86885
394.20	0.87918
394.40	0.88833
394.60	0.89796
394.80	0.90790
395.00	0.91720
395.20	0.92595
395.40	0.93621
395.60	0.94475
395.80	0.95283
396.00	0.96121
396.20	0.96933
396.40	0.97585
396.60	0.98192
396.80	0.98804
397.00	0.99223
397.20	0.99517
397.40	0.99797
397.60	1.0000
397.80	0.99983
398.00	0.99897
398.20	0.99819
398.40	0.99468
398.60	0.99100
398.80	0.98651
399.00	0.98054
399.20	0.97393
399.40	0.96719
399.60	0.95962
399.80	0.95030
400.00	0.94098
400.20	0.93156
400.40	0.92123
400.60	0.91011
400.80	0.90025
401.00	0.88856
401.20	0.87648
401.40	0.86573
401.60	0.85410
401.80	0.84163
402.00	0.82901
402.20	0.81746
402.40	0.80478
402.60	0.79197
402.80	0.77976
403.00	0.76707
403.20	0.75360
403.40	0.74110
403.60	0.72788
403.80	0.71405
404.00	0.70029
404.20	0.68728
404.40	0.67308
404.60	0.65884
404.80	0.64514
405.00	0.63081
405.20	0.61578
405.40	0.60233
405.60	0.58787
405.80	0.57276
406.00	0.55799
406.20	0.54364
406.40	0.52857
406.60	0.51382
406.80	0.50022
407.00	0.48573
407.20	0.47004
407.40	0.45662
407.60	0.44275
407.80	0.42823
408.00	0.41417
408.20	0.40139
408.40	0.38710
408.60	0.37381
408.80	0.36172
409.00	0.34928
409.20	0.33613
409.40	0.32442
409.60	0.31334
409.80	0.30156
410.00	0.29048
410.20	0.28051
410.40	0.26944
410.60	0.25936
410.80	0.25018
411.00	0.24072
411.20	0.23106
411.40	0.22318
411.60	0.21489
411.80	0.20645
412.00	0.19817
412.20	0.19212
412.40	0.18437
412.60	0.17709
412.80	0.17142
413.00	0.16502
413.20	0.15873
413.40	0.15327
413.60	0.14816
413.80	0.14214
414.00	0.13733
414.20	0.13350
414.40	0.12833
414.60	0.12328
414.80	0.11958
415.00	0.11537
415.20	0.11148
415.40	0.10816
415.60	0.10482
415.80	0.10141
416.00	0.097500
416.20	0.095250
416.40	0.092220
416.60	0.088800
416.80	0.086800
417.00	0.084330
417.20	0.081370
417.40	0.078930
417.60	0.077500
417.80	0.075080
418.00	0.072510
418.20	0.071360
418.40	0.069080
418.60	0.067100
418.80	0.066190
419.00	0.064610
419.20	0.062380
419.40	0.060880
419.60	0.060420
419.80	0.057990
420.00	0.056290
420.20	0.055830
420.40	0.054650
420.60	0.052850
420.80	0.052270
421.00	0.051480
421.20	0.049670
421.40	0.048830
421.60	0.048420
421.80	0.047230
422.00	0.045960
422.20	0.046040
422.40	0.044910
422.60	0.043520
422.80	0.043240
423.00	0.042810
423.20	0.041800
423.40	0.041150
423.60	0.040620
423.80	0.039830
424.00	0.039420
424.20	0.038790
424.40	0.038220
424.60	0.037280
424.80	0.037170
425.00	0.037000
425.20	0.035770
425.40	0.035420
425.60	0.035680
425.80	0.034360
426.00	0.033870
426.20	0.034080
426.40	0.033360
426.60	0.032770
426.80	0.032880
427.00	0.033060
427.20	0.031770
427.40	0.031510
427.60	0.031670
427.80	0.030620
428.00	0.030110
428.20	0.030470
428.40	0.030350
428.60	0.029690
428.80	0.029730
429.00	0.029560
429.20	0.028430
429.40	0.028610
429.60	0.028950
429.80	0.028110
430.00	0.027680
430.20	0.027970
430.40	0.027870
430.60	0.027320
430.80	0.027170
431.00	0.027420
431.20	0.026440
431.40	0.026350
431.60	0.026760
431.80	0.026570
432.00	0.025620
432.20	0.025960
432.40	0.025810
432.60	0.025530
432.80	0.025550
433.00	0.025680
433.20	0.024810
433.40	0.024830
433.60	0.025330
433.80	0.024810
434.00	0.024370
434.20	0.024960
434.40	0.024230
434.60	0.023850
434.80	0.024580
435.00	0.024680
435.20	0.024120
435.40	0.023750
435.60	0.023860
435.80	0.023590
436.00	0.022840
436.20	0.023510
436.40	0.023330
436.60	0.022970
436.80	0.023300
437.00	0.023160
437.20	0.022850
437.40	0.022730
437.60	0.022960
437.80	0.022850
438.00	0.022160
438.20	0.022710
438.40	0.022430
438.60	0.021700
438.80	0.022400
439.00	0.022790
439.20	0.022050
439.40	0.021840
439.60	0.022270
439.80	0.021690
440.00	0.021520
440.20	0.021790
440.40	0.021740
440.60	0.021570
440.80	0.021820
441.00	0.022000
441.20	0.021310
441.40	0.021390
441.60	0.021620
441.80	0.021820
442.00	0.021050
442.20	0.021640
442.40	0.021730
442.60	0.020760
442.80	0.021040
443.00	0.021200
443.20	0.020620
443.40	0.020550
443.60	0.021240
443.80	0.021000
444.00	0.020300
444.20	0.020860
444.40	0.020890
444.60	0.020350
444.80	0.021010
445.00	0.020870
445.20	0.020620
445.40	0.020640
445.60	0.021460
445.80	0.021110
446.00	0.020280
446.20	0.021140
446.40	0.021110
446.60	0.020660
446.80	0.020890
447.00	0.021140
447.20	0.020700
447.40	0.020670
447.60	0.020970
447.80	0.020710
448.00	0.020670
448.20	0.021250
448.40	0.021050
448.60	0.020350
448.80	0.020760
449.00	0.021130
449.20	0.020370
449.40	0.020280
449.60	0.020830
449.80	0.020730
450.00	0.020360
450.20	0.020860
450.40	0.021140
450.60	0.020380
450.80	0.020650
451.00	0.021250
451.20	0.020370
451.40	0.020390
451.60	0.021070
451.80	0.020430
452.00	0.020040
452.20	0.020620
452.40	0.020840
452.60	0.020320
452.80	0.020490
453.00	0.020930
453.20	0.020550
453.40	0.020210
453.60	0.021020
453.80	0.020730
454.00	0.019780
454.20	0.020490
454.40	0.020530
454.60	0.020340
454.80	0.020410
455.00	0.021110
455.20	0.020260
455.40	0.020420
455.60	0.020720
455.80	0.020720
456.00	0.020370
456.20	0.020460
456.40	0.020570
456.60	0.020460
456.80	0.020320
457.00	0.021070
457.20	0.020270
457.40	0.020440
457.60	0.021060
457.80	0.020780
458.00	0.020300
458.20	0.020800
458.40	0.021030
458.60	0.020510
458.80	0.020560
459.00	0.020920
459.20	0.020710
459.40	0.020190
459.60	0.021040
459.80	0.020620
460.00	0.020220
460.20	0.020830
460.40	0.021090
460.60	0.020450
460.80	0.020460
461.00	0.021500
461.20	0.021090
461.40	0.020260
461.60	0.021020
461.80	0.021080
462.00	0.020550
462.20	0.021190
462.40	0.021300
462.60	0.020780
462.80	0.020770
463.00	0.021020
463.20	0.021240
463.40	0.020860
463.60	0.021270
463.80	0.021330
464.00	0.020790
464.20	0.021350
464.40	0.021500
464.60	0.021140
