Wavelength (nm)	344 ZnC3 (SE442).abs
350.00	0.44986
350.20	0.45174
350.40	0.45017
350.60	0.44814
350.80	0.44845
351.00	0.44939
351.20	0.45331
351.40	0.45472
351.60	0.45300
351.80	0.45143
352.00	0.45190
352.20	0.45441
352.40	0.45708
352.60	0.45801
352.80	0.45754
353.00	0.45801
353.20	0.45786
353.40	0.45848
353.60	0.45754
353.80	0.45488
354.00	0.45441
354.20	0.45441
354.40	0.45441
354.60	0.45269
354.80	0.45127
355.00	0.44986
355.20	0.45143
355.40	0.45441
355.60	0.45535
355.80	0.45425
356.00	0.45081
356.20	0.45096
356.40	0.45112
356.60	0.45065
356.80	0.45065
357.00	0.45127
357.20	0.45096
357.40	0.45112
357.60	0.44939
357.80	0.44971
358.00	0.45049
358.20	0.45081
358.40	0.45033
358.60	0.44939
358.80	0.44924
359.00	0.44861
359.20	0.44893
359.40	0.44798
359.60	0.44893
359.80	0.44720
360.00	0.44485
360.20	0.44187
360.40	0.44297
360.60	0.44438
360.80	0.44344
361.00	0.44297
361.20	0.44250
361.40	0.44390
361.60	0.44297
361.80	0.44266
362.00	0.44171
362.20	0.44218
362.40	0.44281
362.60	0.44109
362.80	0.43795
363.00	0.43529
363.20	0.43592
363.40	0.43623
363.60	0.43575
363.80	0.43623
364.00	0.43795
364.20	0.43592
364.40	0.43482
364.60	0.43372
364.80	0.43419
365.00	0.43246
365.20	0.43184
365.40	0.43262
365.60	0.43325
365.80	0.43231
366.00	0.43058
366.20	0.43153
366.40	0.43153
366.60	0.43043
366.80	0.42870
367.00	0.42745
367.20	0.42917
367.40	0.42933
367.60	0.42949
367.80	0.42792
368.00	0.42572
368.20	0.42338
368.40	0.42431
368.60	0.42572
368.80	0.42682
369.00	0.42714
369.20	0.42824
369.40	0.42792
369.60	0.42729
369.80	0.42777
370.00	0.42824
370.20	0.42745
370.40	0.42588
370.60	0.42510
370.80	0.42384
371.00	0.42384
371.20	0.42479
371.40	0.42526
371.60	0.42651
371.80	0.42745
372.00	0.42667
372.20	0.42431
372.40	0.42369
372.60	0.42494
372.80	0.42588
373.00	0.42479
373.20	0.42416
373.40	0.42400
373.60	0.42416
373.80	0.42306
374.00	0.42400
374.20	0.42463
374.40	0.42604
374.60	0.42479
374.80	0.42400
375.00	0.42541
375.20	0.42604
375.40	0.42651
375.60	0.42526
375.80	0.42588
376.00	0.42479
376.20	0.42572
376.40	0.42620
376.60	0.42651
376.80	0.42651
377.00	0.42526
377.20	0.42604
377.40	0.42651
377.60	0.42714
377.80	0.42698
378.00	0.42620
378.20	0.42636
378.40	0.42667
378.60	0.42714
378.80	0.42636
379.00	0.42636
379.20	0.42792
379.40	0.42886
379.60	0.42886
379.80	0.42870
380.00	0.42792
380.20	0.42870
380.40	0.42965
380.60	0.42965
380.80	0.42902
381.00	0.43043
381.20	0.43090
381.40	0.43074
381.60	0.42980
381.80	0.42996
382.00	0.42965
382.20	0.42949
382.40	0.42808
382.60	0.43011
382.80	0.43090
383.00	0.43106
383.20	0.43121
383.40	0.43121
383.60	0.43215
383.80	0.43215
384.00	0.43215
384.20	0.43325
384.40	0.43387
384.60	0.43482
384.80	0.43435
385.00	0.43356
385.20	0.43341
385.40	0.43435
385.60	0.43560
385.80	0.43623
386.00	0.43795
386.20	0.43685
386.40	0.43748
386.60	0.43670
386.80	0.43764
387.00	0.43717
387.20	0.43764
387.40	0.43921
387.60	0.43936
387.80	0.43936
388.00	0.43873
388.20	0.43968
388.40	0.44014
388.60	0.44140
388.80	0.44250
389.00	0.44469
389.20	0.44595
389.40	0.44579
389.60	0.44610
389.80	0.44610
390.00	0.44532
390.20	0.44469
390.40	0.44438
390.60	0.44532
390.80	0.44657
391.00	0.44595
391.20	0.44657
391.40	0.44783
391.60	0.45033
391.80	0.45033
392.00	0.44939
392.20	0.44939
392.40	0.45096
392.60	0.45222
392.80	0.45269
393.00	0.45362
393.20	0.45457
393.40	0.45535
393.60	0.45629
393.80	0.45613
394.00	0.45660
394.20	0.45786
394.40	0.45927
394.60	0.46005
394.80	0.46037
395.00	0.46037
395.20	0.46037
395.40	0.46068
395.60	0.46052
395.80	0.46037
396.00	0.46115
396.20	0.46209
396.40	0.46381
396.60	0.46523
396.80	0.46648
397.00	0.46695
397.20	0.46789
397.40	0.46852
397.60	0.46883
397.80	0.46804
398.00	0.46852
398.20	0.46914
398.40	0.47071
398.60	0.47149
398.80	0.47243
399.00	0.47321
399.20	0.47369
399.40	0.47338
399.60	0.47384
399.80	0.47447
400.00	0.47604
400.20	0.47651
400.40	0.47714
400.60	0.47698
400.80	0.47839
401.00	0.47933
401.20	0.48121
401.40	0.48215
401.60	0.48325
401.80	0.48278
402.00	0.48215
402.20	0.48293
402.40	0.48387
402.60	0.48575
402.80	0.48607
403.00	0.48670
403.20	0.48795
403.40	0.48873
403.60	0.48936
403.80	0.49030
404.00	0.49202
404.20	0.49375
404.40	0.49406
404.60	0.49485
404.80	0.49563
405.00	0.49657
405.20	0.49657
405.40	0.49720
405.60	0.49876
405.80	0.49939
406.00	0.49986
406.20	0.50033
406.40	0.50205
406.60	0.50269
406.80	0.50315
407.00	0.50347
407.20	0.50441
407.40	0.50582
407.60	0.50676
407.80	0.50723
408.00	0.50801
408.20	0.50989
408.40	0.51130
408.60	0.51162
408.80	0.51208
409.00	0.51303
409.20	0.51334
409.40	0.51256
409.60	0.51256
409.80	0.51428
410.00	0.51538
410.20	0.51632
410.40	0.51694
410.60	0.51679
410.80	0.51710
411.00	0.51836
411.20	0.52118
411.40	0.52306
411.60	0.52478
411.80	0.52604
412.00	0.52635
412.20	0.52588
412.40	0.52666
412.60	0.52807
412.80	0.52933
413.00	0.52995
413.20	0.53121
413.40	0.53215
413.60	0.53309
413.80	0.53434
414.00	0.53544
414.20	0.53685
414.40	0.53717
414.60	0.53858
414.80	0.53967
415.00	0.54139
415.20	0.54296
415.40	0.54469
415.60	0.54625
415.80	0.54751
416.00	0.54986
416.20	0.55315
416.40	0.55535
416.60	0.55723
416.80	0.55848
417.00	0.56115
417.20	0.56303
417.40	0.56569
417.60	0.56757
417.80	0.56930
418.00	0.57087
418.20	0.57165
418.40	0.57306
418.60	0.57525
418.80	0.57761
419.00	0.58011
419.20	0.58199
419.40	0.58528
419.60	0.58764
419.80	0.58983
420.00	0.59203
420.20	0.59437
420.40	0.59657
420.60	0.59813
420.80	0.59970
421.00	0.60127
421.20	0.60347
421.40	0.60723
421.60	0.61083
421.80	0.61365
422.00	0.61491
422.20	0.61631
422.40	0.61804
422.60	0.62086
422.80	0.62353
423.00	0.62760
423.20	0.63152
423.40	0.63387
423.60	0.63685
423.80	0.63983
424.00	0.64296
424.20	0.64579
424.40	0.64923
424.60	0.65127
424.80	0.65472
425.00	0.65848
425.20	0.66224
425.40	0.66475
425.60	0.66569
425.80	0.66788
426.00	0.67070
426.20	0.67525
426.40	0.67807
426.60	0.68058
426.80	0.68309
427.00	0.68622
427.20	0.68904
427.40	0.69202
427.60	0.69359
427.80	0.69625
428.00	0.69970
428.20	0.70315
428.40	0.70565
428.60	0.70706
428.80	0.70894
429.00	0.71114
429.20	0.71365
429.40	0.71522
429.60	0.71663
429.80	0.71819
430.00	0.72023
430.20	0.72274
430.40	0.72462
430.60	0.72744
430.80	0.72995
431.00	0.73277
431.20	0.73449
431.40	0.73653
431.60	0.73779
431.80	0.74061
432.00	0.74328
432.20	0.74500
432.40	0.74672
432.60	0.74766
432.80	0.74923
433.00	0.75048
433.20	0.75174
433.40	0.75267
433.60	0.75534
433.80	0.75722
434.00	0.75941
434.20	0.76051
434.40	0.76224
434.60	0.76365
434.80	0.76490
435.00	0.76678
435.20	0.76851
435.40	0.77007
435.60	0.77149
435.80	0.77227
436.00	0.77337
436.20	0.77462
436.40	0.77619
436.60	0.77681
436.80	0.77728
437.00	0.77822
437.20	0.77948
437.40	0.78136
437.60	0.78277
437.80	0.78528
438.00	0.78763
438.20	0.78982
438.40	0.79061
438.60	0.79139
438.80	0.79280
439.00	0.79421
439.20	0.79594
439.40	0.79704
439.60	0.79860
439.80	0.80048
440.00	0.80236
440.20	0.80471
440.40	0.80738
440.60	0.80910
440.80	0.81067
441.00	0.81208
441.20	0.81458
441.40	0.81647
441.60	0.81819
441.80	0.82086
442.00	0.82352
442.20	0.82619
442.40	0.82791
442.60	0.82995
442.80	0.83183
443.00	0.83418
443.20	0.83684
443.40	0.83982
443.60	0.84358
443.80	0.84687
444.00	0.84907
444.20	0.85126
444.40	0.85330
444.60	0.85565
444.80	0.85863
445.00	0.86239
445.20	0.86600
445.40	0.86929
445.60	0.87227
445.80	0.87540
446.00	0.87869
446.20	0.88120
446.40	0.88512
446.60	0.88904
446.80	0.89233
447.00	0.89515
447.20	0.89844
447.40	0.90268
447.60	0.90690
447.80	0.91129
448.00	0.91505
448.20	0.91741
448.40	0.92007
448.60	0.92320
448.80	0.92681
449.00	0.93120
449.20	0.93496
449.40	0.93872
449.60	0.94186
449.80	0.94531
450.00	0.94797
450.20	0.95095
450.40	0.95424
450.60	0.95784
450.80	0.96098
451.00	0.96302
451.20	0.96568
451.40	0.96835
451.60	0.97117
451.80	0.97446
452.00	0.97822
452.20	0.98057
452.40	0.98245
452.60	0.98496
452.80	0.98778
453.00	0.98872
453.20	0.98997
453.40	0.99107
453.60	0.99248
453.80	0.99342
454.00	0.99499
454.20	0.99624
454.40	0.99719
454.60	0.99781
454.80	0.99828
455.00	0.99922
455.20	1.0000
455.40	0.99922
455.60	0.99860
455.80	0.99812
456.00	0.99734
456.20	0.99593
456.40	0.99499
456.60	0.99390
456.80	0.99264
457.00	0.99060
457.20	0.98794
457.40	0.98575
457.60	0.98418
457.80	0.98198
458.00	0.97932
458.20	0.97508
458.40	0.97148
458.60	0.96725
458.80	0.96349
459.00	0.95957
459.20	0.95549
459.40	0.95110
459.60	0.94719
459.80	0.94311
460.00	0.93731
460.20	0.93135
460.40	0.92524
460.60	0.91913
460.80	0.91302
461.00	0.90612
461.20	0.89938
461.40	0.89201
461.60	0.88496
461.80	0.87775
462.00	0.87070
462.20	0.86286
462.40	0.85487
462.60	0.84703
462.80	0.83857
463.00	0.83042
463.20	0.82149
463.40	0.81270
463.60	0.80377
463.80	0.79515
464.00	0.78637
464.20	0.77650
464.40	0.76678
464.60	0.75691
464.80	0.74750
465.00	0.73685
465.20	0.72729
465.40	0.71757
465.60	0.70770
465.80	0.69641
466.00	0.68575
466.20	0.67541
466.40	0.66538
466.60	0.65566
466.80	0.64610
467.00	0.63591
467.20	0.62588
467.40	0.61585
467.60	0.60535
467.80	0.59437
468.00	0.58371
468.20	0.57447
468.40	0.56538
468.60	0.55519
468.80	0.54406
469.00	0.53372
469.20	0.52337
469.40	0.51381
469.60	0.50441
469.80	0.49485
470.00	0.48513
470.20	0.47526
470.40	0.46538
470.60	0.45519
470.80	0.44595
471.00	0.43670
471.20	0.42714
471.40	0.41757
471.60	0.40864
471.80	0.40034
472.00	0.39250
472.20	0.38466
472.40	0.37557
472.60	0.36679
472.80	0.35770
473.00	0.34908
473.20	0.34156
473.40	0.33419
473.60	0.32714
473.80	0.32056
474.00	0.31288
474.20	0.30473
474.40	0.29658
474.60	0.28921
474.80	0.28184
475.00	0.27463
475.20	0.26820
475.40	0.26194
475.60	0.25583
475.80	0.24956
476.00	0.24344
476.20	0.23796
476.40	0.23247
476.60	0.22652
476.80	0.22056
477.00	0.21507
477.20	0.21037
477.40	0.20567
477.60	0.20097
477.80	0.19564
478.00	0.19047
478.20	0.18655
478.40	0.18372
478.60	0.18059
478.80	0.17652
479.00	0.17228
479.20	0.16759
479.40	0.16335
479.60	0.15927
479.80	0.15551
480.00	0.15160
480.20	0.14783
480.40	0.14407
480.60	0.14094
480.80	0.13827
481.00	0.13545
481.20	0.13247
481.40	0.12949
481.60	0.12636
481.80	0.12276
482.00	0.12009
482.20	0.11774
482.40	0.11507
482.60	0.11194
482.80	0.10975
483.00	0.10771
483.20	0.10583
483.40	0.10363
483.60	0.10065
483.80	0.098774
484.00	0.096894
484.20	0.095170
484.40	0.093603
484.60	0.091411
484.80	0.089531
485.00	0.087489
485.20	0.086396
485.40	0.085140
485.60	0.083261
485.80	0.081218
486.00	0.079182
486.20	0.078246
486.40	0.077927
486.60	0.076834
486.80	0.074167
487.00	0.072287
487.20	0.071500
487.40	0.071032
487.60	0.069621
487.80	0.068528
488.00	0.067741
488.20	0.066804
488.40	0.065705
488.60	0.064606
488.80	0.063981
489.00	0.063038
489.20	0.062101
489.40	0.060690
489.60	0.060059
489.80	0.058966
490.00	0.058179
490.20	0.057399
490.40	0.056768
490.60	0.056924
490.80	0.056143
491.00	0.055044
491.20	0.053632
491.40	0.053476
491.60	0.054263
491.80	0.055200
492.00	0.055044
492.20	0.053795
492.40	0.052696
492.60	0.051440
492.80	0.051128
493.00	0.050504
493.20	0.050029
493.40	0.049248
493.60	0.049561
493.80	0.049092
494.00	0.048149
494.20	0.047369
494.40	0.046425
494.60	0.045957
494.80	0.046425
495.00	0.047525
495.20	0.047837
495.40	0.047369
495.60	0.046738
495.80	0.046425
496.00	0.046894
496.20	0.046425
496.40	0.045957
496.60	0.045014
496.80	0.044858
497.00	0.044702
497.20	0.044390
497.40	0.044233
497.60	0.044077
497.80	0.044077
498.00	0.043915
498.20	0.043602
498.40	0.043290
498.60	0.043134
498.80	0.043290
499.00	0.043602
499.20	0.043759
499.40	0.043759
499.60	0.043290
499.80	0.042978
500.00	0.042666
500.20	0.042347
500.40	0.042822
500.60	0.043134
500.80	0.043290
501.00	0.042822
501.20	0.042347
501.40	0.042035
501.60	0.042347
501.80	0.042822
502.00	0.042822
502.20	0.042510
502.40	0.042191
502.60	0.041879
502.80	0.042347
503.00	0.042666
503.20	0.042191
503.40	0.041723
503.60	0.041879
503.80	0.041879
504.00	0.041879
504.20	0.042191
504.40	0.042666
504.60	0.042510
504.80	0.041879
505.00	0.040942
505.20	0.040467
505.40	0.040155
505.60	0.040786
505.80	0.041410
506.00	0.042035
506.20	0.041879
506.40	0.040942
506.60	0.040155
506.80	0.040155
507.00	0.040467
507.20	0.040942
507.40	0.040311
507.60	0.040155
507.80	0.040155
508.00	0.040155
508.20	0.039843
508.40	0.039687
508.60	0.039218
508.80	0.039218
509.00	0.039375
509.20	0.039531
509.40	0.039375
509.60	0.039218
509.80	0.038744
510.00	0.038275
510.20	0.037963
510.40	0.037807
510.60	0.038119
510.80	0.038900
511.00	0.039056
511.20	0.039056
511.40	0.038744
511.60	0.038587
511.80	0.037651
512.00	0.037495
512.20	0.037807
512.40	0.038587
512.60	0.038275
512.80	0.037651
513.00	0.036552
513.20	0.036395
513.40	0.036083
513.60	0.036239
513.80	0.035927
514.00	0.036395
514.20	0.036552
514.40	0.037332
514.60	0.037495
514.80	0.037807
515.00	0.037020
515.20	0.036864
515.40	0.037332
515.60	0.037807
515.80	0.037332
516.00	0.037176
516.20	0.036708
516.40	0.036864
516.60	0.036708
516.80	0.036552
517.00	0.036864
517.20	0.036552
517.40	0.037176
517.60	0.036864
517.80	0.036708
518.00	0.036864
518.20	0.037020
518.40	0.037176
518.60	0.037332
518.80	0.036552
519.00	0.036239
519.20	0.035452
519.40	0.035296
519.60	0.035296
519.80	0.035140
520.00	0.035765
520.20	0.036395
520.40	0.036864
520.60	0.037020
520.80	0.036552
521.00	0.036708
521.20	0.036864
521.40	0.037176
521.60	0.036708
521.80	0.036552
522.00	0.037020
522.20	0.037332
522.40	0.036864
522.60	0.036552
522.80	0.036395
523.00	0.036395
523.20	0.036395
523.40	0.035296
523.60	0.034828
523.80	0.035608
524.00	0.036864
524.20	0.037651
524.40	0.037332
524.60	0.036864
524.80	0.036864
525.00	0.037332
525.20	0.037332
525.40	0.037176
525.60	0.035927
525.80	0.035452
526.00	0.035608
526.20	0.036552
526.40	0.037651
526.60	0.038119
526.80	0.038119
527.00	0.037332
527.20	0.037651
527.40	0.037651
527.60	0.037963
527.80	0.037807
528.00	0.037651
528.20	0.037020
528.40	0.037495
528.60	0.037651
528.80	0.038275
529.00	0.039056
529.20	0.039056
529.40	0.038900
529.60	0.038431
529.80	0.038431
530.00	0.038119
530.20	0.038275
530.40	0.038119
530.60	0.038275
530.80	0.038275
531.00	0.039056
531.20	0.039218
531.40	0.039531
531.60	0.039218
531.80	0.038744
532.00	0.038744
532.20	0.039056
532.40	0.039687
532.60	0.039843
532.80	0.040155
533.00	0.040786
533.20	0.041254
533.40	0.041567
533.60	0.041254
533.80	0.040942
534.00	0.040786
534.20	0.040623
534.40	0.040467
534.60	0.040623
534.80	0.040467
535.00	0.040467
535.20	0.039999
535.40	0.040467
535.60	0.040786
535.80	0.041098
536.00	0.041567
536.20	0.042347
536.40	0.042822
536.60	0.042347
536.80	0.042822
537.00	0.042978
537.20	0.042822
537.40	0.042347
537.60	0.042347
537.80	0.042978
538.00	0.043602
538.20	0.043602
538.40	0.043759
538.60	0.043602
538.80	0.043290
539.00	0.042978
539.20	0.043134
539.40	0.042510
539.60	0.043134
539.80	0.043602
540.00	0.043759
540.20	0.044546
540.40	0.044546
540.60	0.043915
540.80	0.043446
541.00	0.043915
541.20	0.044546
541.40	0.044702
541.60	0.044702
541.80	0.044702
542.00	0.043915
542.20	0.043759
542.40	0.043290
542.60	0.043290
542.80	0.043602
543.00	0.044233
543.20	0.044390
543.40	0.044233
543.60	0.043759
543.80	0.043446
544.00	0.043446
544.20	0.043290
544.40	0.043134
544.60	0.043446
544.80	0.043602
545.00	0.043446
545.20	0.043759
545.40	0.044233
545.60	0.044702
545.80	0.044546
546.00	0.044702
546.20	0.044233
546.40	0.044077
546.60	0.044233
546.80	0.044702
547.00	0.044546
547.20	0.043915
547.40	0.043446
547.60	0.043134
547.80	0.043134
548.00	0.043602
548.20	0.043602
548.40	0.043602
548.60	0.043759
548.80	0.043446
549.00	0.043602
549.20	0.043759
549.40	0.043759
549.60	0.044390
549.80	0.044546
550.00	0.043915
550.20	0.043290
550.40	0.042978
550.60	0.043134
550.80	0.043290
551.00	0.043290
551.20	0.043602
551.40	0.043602
551.60	0.043290
551.80	0.043290
552.00	0.043446
552.20	0.044233
552.40	0.044077
552.60	0.043446
552.80	0.043290
553.00	0.042666
553.20	0.042191
553.40	0.042347
553.60	0.043134
553.80	0.043602
554.00	0.043446
554.20	0.042822
554.40	0.042347
554.60	0.042978
554.80	0.042978
555.00	0.042822
555.20	0.042191
555.40	0.041879
555.60	0.041879
555.80	0.042191
556.00	0.042347
556.20	0.042822
556.40	0.043134
556.60	0.042822
556.80	0.042510
557.00	0.041879
557.20	0.041723
557.40	0.042035
557.60	0.042666
557.80	0.042978
558.00	0.042822
558.20	0.042978
558.40	0.042666
558.60	0.041879
558.80	0.041879
559.00	0.041879
559.20	0.041879
559.40	0.041879
559.60	0.042666
559.80	0.042978
560.00	0.043134
560.20	0.042666
560.40	0.042510
560.60	0.042822
560.80	0.043759
561.00	0.043915
561.20	0.043915
561.40	0.043602
561.60	0.043602
561.80	0.043759
562.00	0.043446
562.20	0.042978
562.40	0.042666
562.60	0.042510
562.80	0.043134
563.00	0.042666
563.20	0.043134
563.40	0.043290
563.60	0.044077
563.80	0.043759
564.00	0.043446
564.20	0.043134
564.40	0.042978
564.60	0.043602
564.80	0.043915
565.00	0.043759
565.20	0.043759
565.40	0.043759
565.60	0.044077
565.80	0.044077
566.00	0.044077
566.20	0.044233
566.40	0.044546
566.60	0.044858
566.80	0.045326
567.00	0.045801
567.20	0.046113
567.40	0.046738
567.60	0.046425
567.80	0.046582
568.00	0.046894
568.20	0.046894
568.40	0.046269
568.60	0.045957
568.80	0.045801
569.00	0.045801
569.20	0.046269
569.40	0.046582
569.60	0.047050
569.80	0.046894
570.00	0.046894
570.20	0.047525
570.40	0.048149
570.60	0.048149
570.80	0.047525
571.00	0.048149
571.20	0.049092
571.40	0.049561
571.60	0.049092
571.80	0.049561
572.00	0.049717
572.20	0.049873
572.40	0.049405
572.60	0.049092
572.80	0.050029
573.00	0.050504
573.20	0.050972
573.40	0.050972
573.60	0.051440
573.80	0.051597
574.00	0.052384
574.20	0.052852
574.40	0.053164
574.60	0.053320
574.80	0.053476
575.00	0.053008
575.20	0.053320
575.40	0.053795
575.60	0.054107
575.80	0.054420
576.00	0.054888
576.20	0.054732
576.40	0.055200
576.60	0.055519
576.80	0.055831
577.00	0.055831
577.20	0.055200
577.40	0.055831
577.60	0.055987
577.80	0.056612
578.00	0.056924
578.20	0.057711
578.40	0.057867
578.60	0.058810
578.80	0.058966
579.00	0.059278
579.20	0.059903
579.40	0.060059
579.60	0.059903
579.80	0.060059
580.00	0.060846
580.20	0.061158
580.40	0.061314
580.60	0.061627
580.80	0.062257
581.00	0.062414
581.20	0.063194
581.40	0.063350
581.60	0.063981
581.80	0.064137
582.00	0.064606
582.20	0.065074
582.40	0.066173
582.60	0.066960
582.80	0.066960
583.00	0.066960
583.20	0.066960
583.40	0.066960
583.60	0.067272
583.80	0.066960
584.00	0.067897
584.20	0.068840
584.40	0.069933
584.60	0.069777
584.80	0.070095
585.00	0.070095
585.20	0.070408
585.40	0.070564
585.60	0.070408
585.80	0.070564
586.00	0.070408
586.20	0.070252
586.40	0.071032
586.60	0.072287
586.80	0.073387
587.00	0.073387
587.20	0.073543
587.40	0.073224
587.60	0.073699
587.80	0.073699
588.00	0.074167
588.20	0.074636
588.40	0.075267
588.60	0.076203
588.80	0.076522
589.00	0.076678
589.20	0.076203
589.40	0.076522
589.60	0.076990
589.80	0.077302
590.00	0.077615
590.20	0.077927
590.40	0.078870
590.60	0.079494
590.80	0.079813
591.00	0.079651
591.20	0.079651
591.40	0.079651
591.60	0.080125
591.80	0.080594
592.00	0.081374
592.20	0.082317
592.40	0.082474
592.60	0.082786
592.80	0.082317
593.00	0.082317
593.20	0.082630
593.40	0.083417
593.60	0.084509
593.80	0.084672
594.00	0.084984
594.20	0.084984
594.40	0.084828
594.60	0.084828
594.80	0.085140
595.00	0.085297
595.20	0.085765
595.40	0.086552
595.60	0.087020
595.80	0.087801
596.00	0.087801
596.20	0.088276
596.40	0.088744
596.60	0.089056
596.80	0.088744
597.00	0.088744
597.20	0.088900
597.40	0.089531
597.60	0.090780
597.80	0.090936
598.00	0.090936
598.20	0.090780
598.40	0.090936
598.60	0.091411
598.80	0.092035
599.00	0.092191
599.20	0.092347
599.40	0.092347
599.60	0.092822
599.80	0.092660
600.00	0.092822
600.20	0.092978
600.40	0.094071
600.60	0.094227
600.80	0.094702
601.00	0.095170
601.20	0.096426
601.40	0.097519
601.60	0.098306
601.80	0.098149
602.00	0.097519
602.20	0.097206
602.40	0.096894
602.60	0.096738
602.80	0.097362
603.00	0.098306
603.20	0.099405
603.40	0.10003
603.60	0.10003
603.80	0.10050
604.00	0.10097
604.20	0.10175
604.40	0.10191
604.60	0.10238
604.80	0.10254
605.00	0.10316
605.20	0.10395
605.40	0.10458
605.60	0.10426
605.80	0.10410
606.00	0.10458
606.20	0.10614
606.40	0.10724
606.60	0.10756
606.80	0.10756
607.00	0.10834
607.20	0.10912
607.40	0.10928
607.60	0.10975
607.80	0.11037
608.00	0.11100
608.20	0.11147
608.40	0.11147
608.60	0.11147
608.80	0.11241
609.00	0.11288
609.20	0.11288
609.40	0.11288
609.60	0.11335
609.80	0.11414
610.00	0.11523
610.20	0.11649
610.40	0.11695
610.60	0.11695
610.80	0.11695
611.00	0.11695
611.20	0.11790
611.40	0.11821
611.60	0.11837
611.80	0.11868
612.00	0.11868
612.20	0.11962
612.40	0.12009
612.60	0.12072
612.80	0.12103
613.00	0.12197
613.20	0.12276
