Wavelength (nm)	344 6 (ZnC-Ar10)	E
300.00	0.015295	
301.00	0.015776	
302.00	0.016532	
303.00	0.016914	
304.00	0.017661	
305.00	0.017853	
306.00	0.018098	
307.00	0.018172	
308.00	0.017945	
309.00	0.017691	
310.00	0.017522	
311.00	0.017507	
312.00	0.017628	
313.00	0.017327	
314.00	0.017624	
315.00	0.018201	
316.00	0.018607	
317.00	0.019175	
318.00	0.019949	
319.00	0.020523	
320.00	0.021078	
321.00	0.022173	
322.00	0.023139	
323.00	0.024372	
324.00	0.025297	
325.00	0.025860	
326.00	0.027255	
327.00	0.028425	
328.00	0.029483	
329.00	0.030671	
330.00	0.031796	
331.00	0.033156	
332.00	0.034123	
333.00	0.035203	
334.00	0.036591	
335.00	0.037904	
336.00	0.038792	
337.00	0.039931	
338.00	0.041139	
339.00	0.042226	
340.00	0.043595	
341.00	0.044767	
342.00	0.046069	
343.00	0.047503	
344.00	0.048954	
345.00	0.050460	
346.00	0.052040	
347.00	0.053487	
348.00	0.055046	
349.00	0.056468	
350.00	0.057893	
351.00	0.058988	
352.00	0.059975	
353.00	0.061168	
354.00	0.061870	
355.00	0.063049	
356.00	0.064067	
357.00	0.065232	
358.00	0.066052	
359.00	0.066576	
360.00	0.067553	
361.00	0.069134	
362.00	0.070042	
363.00	0.071667	
364.00	0.073161	
365.00	0.074820	
366.00	0.076506	
367.00	0.078352	
368.00	0.080739	
369.00	0.083037	
370.00	0.086811	
371.00	0.091271	
372.00	0.096025	
373.00	0.10158	
374.00	0.10888	
375.00	0.11736	
376.00	0.12737	
377.00	0.13813	
378.00	0.14938	
379.00	0.16198	
380.00	0.17478	
381.00	0.18709	
382.00	0.19912	
383.00	0.21058	
384.00	0.22081	
385.00	0.22946	
386.00	0.23633	
387.00	0.24219	
388.00	0.24714	
389.00	0.25178	
390.00	0.25770	
391.00	0.26713	
392.00	0.28015	
393.00	0.29643	
394.00	0.31841	
395.00	0.34646	
396.00	0.38355	
397.00	0.42975	
398.00	0.48265	
399.00	0.54154	
400.00	0.60691	
401.00	0.67936	
402.00	0.75688	
403.00	0.83426	
404.00	0.90516	
405.00	0.96091	
406.00	0.99255	
407.00	1.0000	
408.00	0.97910	
409.00	0.93643	
410.00	0.87649	
411.00	0.80172	
412.00	0.72329	
413.00	0.64722	
414.00	0.57690	
415.00	0.50960	
416.00	0.44960	
417.00	0.39621	
418.00	0.34716	
419.00	0.30476	
420.00	0.26680	
421.00	0.23371	
422.00	0.20611	
423.00	0.18337	
424.00	0.16358	
425.00	0.14644	
426.00	0.13182	
427.00	0.11883	
428.00	0.10881	
429.00	0.10009	
430.00	0.091705	
431.00	0.085517	
432.00	0.079577	
433.00	0.074262	
434.00	0.068638	
435.00	0.064804	
436.00	0.060114	
437.00	0.056139	
438.00	0.052437	
439.00	0.048925	
440.00	0.045798	
441.00	0.042758	
442.00	0.040558	
443.00	0.037564	
444.00	0.035231	
445.00	0.033190	
446.00	0.030747	
447.00	0.028784	
448.00	0.026813	
449.00	0.025106	
450.00	0.023713	
451.00	0.022026	
452.00	0.020451	
453.00	0.018794	
454.00	0.018091	
455.00	0.017630	
456.00	0.016043	
457.00	0.015080	
458.00	0.014403	
459.00	0.013630	
460.00	0.012994	
461.00	0.012885	
462.00	0.012621	
463.00	0.011410	
464.00	0.011399	
465.00	0.011313	
466.00	0.010978	
467.00	0.010765	
468.00	0.010688	
469.00	0.010111	
