Wavelength (nm)	344 6 (ZnC-Ar10)
550.00	0.0025567
551.00	0.0029819
552.00	0.0032722
553.00	0.0026785
554.00	0.0033073
555.00	0.0029016
556.00	0.0026321
557.00	0.0028821
558.00	0.0026219
559.00	0.0032145
560.00	0.0032106
561.00	0.0026522
562.00	0.0036832
563.00	0.0036409
564.00	0.0033166
565.00	0.0036205
566.00	0.0036428
567.00	0.0045181
568.00	0.0042690
569.00	0.0045354
570.00	0.0051897
571.00	0.0059838
572.00	0.0066056
573.00	0.0077785
574.00	0.0083100
575.00	0.0098117
576.00	0.010038
577.00	0.0097337
578.00	0.011971
579.00	0.011500
580.00	0.011769
581.00	0.011451
582.00	0.011972
583.00	0.011235
584.00	0.011503
585.00	0.012146
586.00	0.012619
587.00	0.012376
588.00	0.013397
589.00	0.015459
590.00	0.018014
591.00	0.019259
592.00	0.023044
593.00	0.027504
594.00	0.033244
595.00	0.041528
596.00	0.051828
597.00	0.065937
598.00	0.088922
599.00	0.11933
600.00	0.15757
601.00	0.21944
602.00	0.29599
603.00	0.38363
604.00	0.48838
605.00	0.60502
606.00	0.72246
607.00	0.82566
608.00	0.90200
609.00	0.97165
610.00	0.99859
611.00	1.0000
612.00	0.97223
613.00	0.91418
614.00	0.85096
615.00	0.77626
616.00	0.69186
617.00	0.61617
618.00	0.54390
619.00	0.47490
620.00	0.42384
621.00	0.37809
622.00	0.33390
623.00	0.29977
624.00	0.26986
625.00	0.24361
626.00	0.22539
627.00	0.19764
628.00	0.18695
629.00	0.17090
630.00	0.15926
631.00	0.14759
632.00	0.14251
633.00	0.13699
634.00	0.13353
635.00	0.12918
636.00	0.12614
637.00	0.12578
638.00	0.12512
639.00	0.12260
640.00	0.12124
641.00	0.12256
642.00	0.11961
643.00	0.12202
644.00	0.12476
645.00	0.12434
646.00	0.12556
647.00	0.12660
648.00	0.12571
649.00	0.12723
650.00	0.13234
651.00	0.13122
652.00	0.12933
653.00	0.12754
654.00	0.12977
655.00	0.12700
656.00	0.13154
657.00	0.13415
658.00	0.13445
659.00	0.13586
660.00	0.13801
661.00	0.13539
662.00	0.14073
663.00	0.13900
664.00	0.14084
665.00	0.14055
666.00	0.13711
667.00	0.13468
668.00	0.13492
669.00	0.13001
670.00	0.12849
671.00	0.12554
672.00	0.12214
673.00	0.11699
674.00	0.11151
675.00	0.10153
676.00	0.097077
677.00	0.092019
678.00	0.087597
679.00	0.082437
680.00	0.075235
681.00	0.067296
682.00	0.066940
683.00	0.061012
684.00	0.055795
685.00	0.050919
686.00	0.047998
687.00	0.047489
688.00	0.042660
689.00	0.040287
690.00	0.037453
691.00	0.035013
692.00	0.034039
693.00	0.031586
694.00	0.030701
695.00	0.031534
696.00	0.027674
697.00	0.027761
698.00	0.025965
699.00	0.029342
700.00	0.025682
701.00	0.024874
702.00	0.025384
703.00	0.022276
704.00	0.022549
705.00	0.023708
706.00	0.022820
707.00	0.020928
708.00	0.023149
709.00	0.022096
710.00	0.023143
711.00	0.020921
712.00	0.022153
713.00	0.022434
714.00	0.021271
715.00	0.020881
716.00	0.018451
717.00	0.018280
718.00	0.019893
719.00	0.017506
720.00	0.018730
721.00	0.019349
722.00	0.018429
723.00	0.019133
724.00	0.018690
725.00	0.018837
726.00	0.016605
727.00	0.017522
728.00	0.019222
729.00	0.016668
730.00	0.016957
731.00	0.016064
732.00	0.018320
733.00	0.015102
734.00	0.016955
735.00	0.015348
736.00	0.015294
737.00	0.018218
738.00	0.014655
739.00	0.012865
740.00	0.014805
741.00	0.016047
742.00	0.018496
743.00	0.015725
744.00	0.015304
745.00	0.015482
746.00	0.013914
747.00	0.012534
748.00	0.012214
749.00	0.015958
750.00	0.014426
