Wavelength (nm)	368 H2C8 (FbC-Ar10)
600.00	0.0011889
601.00	0.0011423
602.00	0.0011988
603.00	0.0012954
604.00	0.0012990
605.00	0.0014044
606.00	0.0014743
607.00	0.0019568
608.00	0.0020820
609.00	0.0023610
610.00	0.0025532
611.00	0.0027478
612.00	0.0029639
613.00	0.0027324
614.00	0.0029547
615.00	0.0033499
616.00	0.0036528
617.00	0.0041556
618.00	0.0051028
619.00	0.0066981
620.00	0.0082102
621.00	0.011069
622.00	0.014230
623.00	0.018738
624.00	0.024408
625.00	0.030110
626.00	0.037561
627.00	0.045335
628.00	0.057133
629.00	0.073015
630.00	0.094998
631.00	0.12981
632.00	0.18590
633.00	0.26599
634.00	0.36330
635.00	0.49664
636.00	0.62633
637.00	0.75745
638.00	0.86989
639.00	0.95754
640.00	0.99632
641.00	1.0000
642.00	0.96454
643.00	0.89438
644.00	0.81057
645.00	0.70491
646.00	0.61010
647.00	0.51912
648.00	0.44397
649.00	0.37592
650.00	0.32688
651.00	0.28416
652.00	0.24932
653.00	0.22026
654.00	0.19670
655.00	0.17216
656.00	0.15208
657.00	0.13374
658.00	0.11659
659.00	0.10102
660.00	0.087572
661.00	0.077369
662.00	0.069791
663.00	0.062769
664.00	0.058787
665.00	0.053332
666.00	0.052398
667.00	0.051369
668.00	0.052319
669.00	0.054124
670.00	0.054656
671.00	0.054093
672.00	0.056612
673.00	0.056507
674.00	0.056918
675.00	0.056011
676.00	0.056631
677.00	0.058063
678.00	0.059457
679.00	0.060612
680.00	0.060659
681.00	0.060997
682.00	0.060987
683.00	0.060446
684.00	0.059406
685.00	0.057160
686.00	0.055669
687.00	0.052741
688.00	0.050882
689.00	0.048983
690.00	0.047826
691.00	0.047152
692.00	0.047106
693.00	0.046340
694.00	0.047565
695.00	0.047897
696.00	0.049256
697.00	0.050616
698.00	0.051675
699.00	0.053563
700.00	0.054907
701.00	0.053228
702.00	0.055233
703.00	0.054379
704.00	0.056587
705.00	0.057293
706.00	0.055441
707.00	0.055552
708.00	0.054487
709.00	0.054254
710.00	0.053304
711.00	0.050630
712.00	0.049375
713.00	0.045940
714.00	0.045425
715.00	0.039499
716.00	0.039484
717.00	0.035866
718.00	0.031699
719.00	0.029244
720.00	0.027269
721.00	0.023546
722.00	0.022451
723.00	0.020550
724.00	0.018825
725.00	0.017704
726.00	0.016212
727.00	0.015904
728.00	0.014446
729.00	0.013194
730.00	0.014202
731.00	0.012509
732.00	0.012233
733.00	0.012218
734.00	0.011217
735.00	0.011614
736.00	0.010912
737.00	0.0097288
738.00	0.0091379
739.00	0.0096764
740.00	0.0093770
741.00	0.0094909
742.00	0.0096659
743.00	0.0084078
744.00	0.0091461
745.00	0.0085418
746.00	0.0085917
747.00	0.0077687
748.00	0.0085904
749.00	0.0075465
750.00	0.0077960
