Wavelength (nm)	344 FbC1 (SE439).abs
350.00	0.21007
350.20	0.21080
350.40	0.21428
350.60	0.21639
350.80	0.21968
351.00	0.22157
351.20	0.22231
351.40	0.22284
351.60	0.22442
351.80	0.22696
352.00	0.22918
352.20	0.22845
352.40	0.22802
352.60	0.23256
352.80	0.23530
353.00	0.23361
353.20	0.23140
353.40	0.23298
353.60	0.23773
353.80	0.23975
354.00	0.23964
354.20	0.24122
354.40	0.23984
354.60	0.24026
354.80	0.24079
355.00	0.24237
355.20	0.24344
355.40	0.24438
355.60	0.24598
355.80	0.24533
356.00	0.24480
356.20	0.24395
356.40	0.24734
356.60	0.24798
356.80	0.25029
357.00	0.24967
357.20	0.24967
357.40	0.25241
357.60	0.25368
357.80	0.25494
358.00	0.25221
358.20	0.25252
358.40	0.25072
358.60	0.25009
358.80	0.24945
359.00	0.24945
359.20	0.24967
359.40	0.25156
359.60	0.25263
359.80	0.25494
360.00	0.25356
360.20	0.25537
360.40	0.25526
360.60	0.25526
360.80	0.25663
361.00	0.25717
361.20	0.25928
361.40	0.25685
361.60	0.25801
361.80	0.25790
362.00	0.26086
362.20	0.25970
362.40	0.26255
362.60	0.26224
362.80	0.26424
363.00	0.26233
363.20	0.26297
363.40	0.26551
363.60	0.26751
363.80	0.26816
364.00	0.26709
364.20	0.26698
364.40	0.26720
364.60	0.26963
364.80	0.27016
365.00	0.27247
365.20	0.27416
365.40	0.27574
365.60	0.27628
365.80	0.27692
366.00	0.27712
366.20	0.28008
366.40	0.28188
366.60	0.28484
366.80	0.28673
367.00	0.29000
367.20	0.29138
367.40	0.29149
367.60	0.29201
367.80	0.29370
368.00	0.29508
368.20	0.29803
368.40	0.30099
368.60	0.30331
368.80	0.30458
369.00	0.30680
369.20	0.30945
369.40	0.31165
369.60	0.31292
369.80	0.31472
370.00	0.31841
370.20	0.32137
370.40	0.32391
370.60	0.32580
370.80	0.32929
371.00	0.33341
371.20	0.33605
371.40	0.33943
371.60	0.34217
371.80	0.34440
372.00	0.34693
372.20	0.34873
372.40	0.35189
372.60	0.35674
372.80	0.36046
373.00	0.36288
373.20	0.36362
373.40	0.36615
373.60	0.36985
373.80	0.37449
374.00	0.37734
374.20	0.38210
374.40	0.38431
374.60	0.38811
374.80	0.39065
375.00	0.39530
375.20	0.39930
375.40	0.40353
375.60	0.40755
375.80	0.41220
376.00	0.41558
376.20	0.41874
376.40	0.42190
376.60	0.42613
376.80	0.42898
377.00	0.43205
377.20	0.43512
377.40	0.43934
377.60	0.44388
377.80	0.44927
378.00	0.45391
378.20	0.45687
378.40	0.46183
378.60	0.46542
378.80	0.46933
379.00	0.47260
379.20	0.47799
379.40	0.48264
379.60	0.48686
379.80	0.49245
380.00	0.49805
380.20	0.50397
380.40	0.50893
380.60	0.51378
380.80	0.52023
381.00	0.52731
381.20	0.53385
381.40	0.53734
381.60	0.54157
381.80	0.54779
382.00	0.55487
382.20	0.56301
382.40	0.56882
382.60	0.57525
382.80	0.58105
383.00	0.58888
383.20	0.59563
383.40	0.60292
383.60	0.61095
383.80	0.61845
384.00	0.62563
384.20	0.63238
384.40	0.63945
384.60	0.64632
384.80	0.65255
385.00	0.65994
385.20	0.66828
385.40	0.67696
385.60	0.68412
385.80	0.69079
386.00	0.69871
386.20	0.70832
386.40	0.71549
386.60	0.72194
386.80	0.72870
387.00	0.73482
387.20	0.74232
387.40	0.74897
387.60	0.75616
387.80	0.76176
388.00	0.76808
388.20	0.77527
388.40	0.78045
388.60	0.78688
388.80	0.79195
389.00	0.79978
389.20	0.80483
389.40	0.81024
389.60	0.81424
389.80	0.81963
390.00	0.82512
390.20	0.82766
390.40	0.83019
390.60	0.83335
390.80	0.83780
391.00	0.84234
391.20	0.84581
391.40	0.84792
391.60	0.84983
391.80	0.85288
392.00	0.85575
392.20	0.85922
392.40	0.86145
392.60	0.86356
392.80	0.86452
393.00	0.86599
393.20	0.86768
393.40	0.86937
393.60	0.87095
393.80	0.87168
394.00	0.87244
394.20	0.87359
394.40	0.87528
394.60	0.87687
394.80	0.87707
395.00	0.87845
395.20	0.87845
395.40	0.87876
395.60	0.87867
395.80	0.87898
396.00	0.88120
396.20	0.88278
396.40	0.88341
396.60	0.88341
396.80	0.88416
397.00	0.88490
397.20	0.88594
397.40	0.88795
397.60	0.88964
397.80	0.89081
398.00	0.89186
398.20	0.89344
398.40	0.89502
398.60	0.89671
398.80	0.89820
399.00	0.89978
399.20	0.90178
399.40	0.90369
399.60	0.90612
399.80	0.90834
400.00	0.91012
400.20	0.91193
400.40	0.91466
400.60	0.91731
400.80	0.92016
401.00	0.92323
401.20	0.92681
401.40	0.92914
401.60	0.93273
401.80	0.93642
402.00	0.94011
402.20	0.94403
402.40	0.94688
402.60	0.94994
402.80	0.95268
403.00	0.95575
403.20	0.95998
403.40	0.96389
403.60	0.96779
403.80	0.97054
404.00	0.97317
404.20	0.97677
404.40	0.97940
404.60	0.98300
404.80	0.98616
405.00	0.98923
405.20	0.99177
405.40	0.99408
405.60	0.99557
405.80	0.99651
406.00	0.99715
406.20	0.99831
406.40	0.99938
406.60	0.99989
406.80	0.99989
407.00	1.0000
407.20	0.99938
407.40	0.99926
407.60	0.99895
407.80	0.99820
408.00	0.99588
408.20	0.99366
408.40	0.99135
408.60	0.98954
408.80	0.98712
409.00	0.98427
409.20	0.98025
409.40	0.97497
409.60	0.96852
409.80	0.96187
410.00	0.95639
410.20	0.95142
410.40	0.94509
410.60	0.93780
410.80	0.92830
411.00	0.91900
411.20	0.90992
411.40	0.90009
411.60	0.88837
411.80	0.87580
412.00	0.86483
412.20	0.85353
412.40	0.84149
412.60	0.82819
412.80	0.81455
413.00	0.80136
413.20	0.78721
413.40	0.77358
413.60	0.75965
413.80	0.74465
414.00	0.72797
414.20	0.71148
414.40	0.69660
414.60	0.68170
414.80	0.66533
415.00	0.64779
415.20	0.63164
415.40	0.61687
415.60	0.60250
415.80	0.58666
416.00	0.57082
416.20	0.55456
416.40	0.53681
416.60	0.51907
416.80	0.50197
417.00	0.48728
417.20	0.47376
417.40	0.46110
417.60	0.44778
417.80	0.43469
418.00	0.42106
418.20	0.40786
418.40	0.39476
418.60	0.38199
418.80	0.36942
419.00	0.35665
419.20	0.34429
419.40	0.33214
419.60	0.32095
419.80	0.31007
420.00	0.29950
420.20	0.28989
420.40	0.28008
420.60	0.27089
420.80	0.26075
421.00	0.25156
421.20	0.24248
421.40	0.23445
421.60	0.22580
421.80	0.21766
422.00	0.20965
422.20	0.20257
422.40	0.19612
422.60	0.18978
422.80	0.18271
423.00	0.17563
423.20	0.16951
423.40	0.16338
423.60	0.15757
423.80	0.15165
424.00	0.14669
424.20	0.14120
424.40	0.13708
424.60	0.13234
424.80	0.12811
425.00	0.12378
425.20	0.11924
425.40	0.11523
425.60	0.11143
425.80	0.10858
426.00	0.10509
426.20	0.10055
426.40	0.096637
426.60	0.093679
426.80	0.091253
427.00	0.089030
427.20	0.085979
427.40	0.082800
427.60	0.079750
427.80	0.077839
428.00	0.077104
428.20	0.075303
428.40	0.072565
428.60	0.070029
428.80	0.069074
429.00	0.068339
429.20	0.066538
429.40	0.064645
429.60	0.063377
429.80	0.062312
430.00	0.060952
430.20	0.059261
430.40	0.057773
430.60	0.055880
430.80	0.055145
431.00	0.055347
431.20	0.054392
431.40	0.053546
431.60	0.051856
431.80	0.050698
432.00	0.049228
432.20	0.048806
432.40	0.048162
432.60	0.047538
432.80	0.046895
433.00	0.045627
433.20	0.044781
433.40	0.043624
433.60	0.043734
433.80	0.043422
434.00	0.042889
434.20	0.041621
434.40	0.040775
434.60	0.040463
434.80	0.040040
435.00	0.040463
435.20	0.040555
435.40	0.041088
435.60	0.040555
435.80	0.039930
436.00	0.038552
436.20	0.037615
436.40	0.036770
436.60	0.036439
436.80	0.036016
437.00	0.035281
437.20	0.034969
437.40	0.035281
437.60	0.035704
437.80	0.035924
438.00	0.035594
438.20	0.035171
438.40	0.035281
438.60	0.035171
438.80	0.034326
439.00	0.033701
439.20	0.034013
439.40	0.034326
439.60	0.034326
439.80	0.034013
440.00	0.034326
440.20	0.034013
440.40	0.032856
440.60	0.032212
440.80	0.032745
441.00	0.033701
441.20	0.034123
441.40	0.034436
441.60	0.034656
441.80	0.034326
442.00	0.034013
442.20	0.033811
442.40	0.033811
442.60	0.034013
442.80	0.034234
443.00	0.034436
443.20	0.034656
443.40	0.034656
443.60	0.034969
443.80	0.034656
444.00	0.034326
444.20	0.034326
444.40	0.034326
444.60	0.034326
444.80	0.034123
445.00	0.034013
445.20	0.033168
445.40	0.033058
445.60	0.032856
445.80	0.033388
446.00	0.033388
446.20	0.033480
446.40	0.033388
446.60	0.033058
446.80	0.032966
447.00	0.033058
447.20	0.033058
447.40	0.033058
447.60	0.032856
447.80	0.032745
448.00	0.032543
448.20	0.032433
448.40	0.032635
448.60	0.032856
448.80	0.032856
449.00	0.033058
449.20	0.033480
449.40	0.033903
449.60	0.032966
449.80	0.031900
450.00	0.032212
450.20	0.033058
450.40	0.033701
450.60	0.033480
450.80	0.033591
451.00	0.033903
451.20	0.034123
451.40	0.034326
451.60	0.034656
451.80	0.034748
452.00	0.034969
452.20	0.034546
452.40	0.034656
452.60	0.034123
452.80	0.034326
453.00	0.034546
453.20	0.035502
453.40	0.035924
453.60	0.036126
453.80	0.035281
454.00	0.034969
454.20	0.034436
454.40	0.034748
454.60	0.034859
454.80	0.034546
455.00	0.034234
455.20	0.034326
455.40	0.034326
455.60	0.034234
455.80	0.034326
456.00	0.034859
456.20	0.034656
456.40	0.034013
