Wavelength (nm)	H2C PEG12 H2O flu
550.00	0.00047086
551.00	0.00042997
552.00	0.00045078
553.00	0.00050933
554.00	0.00039723
555.00	0.00043811
556.00	0.00047915
557.00	0.00052261
558.00	0.00039390
559.00	0.00041940
560.00	0.00056414
561.00	0.00038330
562.00	0.00042297
563.00	0.00045382
564.00	0.00050761
565.00	0.00050236
566.00	0.00057954
567.00	0.00048484
568.00	0.00057857
569.00	0.00056881
570.00	0.00047780
571.00	0.00046089
572.00	0.00051393
573.00	0.00055328
574.00	0.00047760
575.00	0.00047693
576.00	0.00057813
577.00	0.00054211
578.00	0.00063946
579.00	0.00059859
580.00	0.00063431
581.00	0.00055495
582.00	0.00065906
583.00	0.00081026
584.00	0.00065481
585.00	0.00069189
586.00	0.00088447
587.00	0.00082626
588.00	0.00079985
589.00	0.00086298
590.00	0.00098672
591.00	0.00089820
592.00	0.00090993
593.00	0.00096489
594.00	0.0010790
595.00	0.0011377
596.00	0.0012587
597.00	0.0011791
598.00	0.0011142
599.00	0.0013358
600.00	0.0013050
601.00	0.0014917
602.00	0.0016591
603.00	0.0016098
604.00	0.0017072
605.00	0.0020833
606.00	0.0019755
607.00	0.0019019
608.00	0.0020027
609.00	0.0026334
610.00	0.0028222
611.00	0.0029925
612.00	0.0031396
613.00	0.0037325
614.00	0.0041510
615.00	0.0048616
616.00	0.0053159
617.00	0.0062118
618.00	0.0074706
619.00	0.0089078
620.00	0.010832
621.00	0.013937
622.00	0.017641
623.00	0.022472
624.00	0.028191
625.00	0.036680
626.00	0.048097
627.00	0.061975
628.00	0.080356
629.00	0.10351
630.00	0.13143
631.00	0.16999
632.00	0.21711
633.00	0.27965
634.00	0.34273
635.00	0.42187
636.00	0.50791
637.00	0.60194
638.00	0.69253
639.00	0.78419
640.00	0.85925
641.00	0.92326
642.00	0.96697
643.00	0.98971
644.00	1.00000
645.00	0.97432
646.00	0.93826
647.00	0.88547
648.00	0.81785
649.00	0.74008
650.00	0.67308
651.00	0.60016
652.00	0.53548
653.00	0.46654
654.00	0.41375
655.00	0.35962
656.00	0.31785
657.00	0.27386
658.00	0.24001
659.00	0.21314
660.00	0.18845
661.00	0.16729
662.00	0.14622
663.00	0.13046
664.00	0.11871
665.00	0.10692
666.00	0.098257
667.00	0.092020
668.00	0.084458
669.00	0.080211
670.00	0.076439
671.00	0.073711
672.00	0.071695
673.00	0.071344
674.00	0.069568
675.00	0.070813
676.00	0.070372
677.00	0.070370
678.00	0.070429
679.00	0.071992
680.00	0.072336
681.00	0.071257
682.00	0.072057
683.00	0.072069
684.00	0.071815
685.00	0.073293
686.00	0.072892
687.00	0.072119
688.00	0.071327
689.00	0.071641
690.00	0.072070
691.00	0.070237
692.00	0.071067
693.00	0.070452
694.00	0.070057
695.00	0.071531
696.00	0.071109
697.00	0.070629
698.00	0.073205
699.00	0.070678
700.00	0.074141
701.00	0.072846
702.00	0.075817
703.00	0.076000
704.00	0.075775
705.00	0.076111
706.00	0.076280
707.00	0.074738
708.00	0.076663
709.00	0.076208
710.00	0.074457
711.00	0.072861
712.00	0.071905
713.00	0.069618
714.00	0.066963
715.00	0.065666
716.00	0.062239
717.00	0.058222
718.00	0.056311
719.00	0.051364
720.00	0.048790
721.00	0.045647
722.00	0.042846
723.00	0.037967
724.00	0.036072
725.00	0.033137
726.00	0.029313
727.00	0.028227
728.00	0.026794
729.00	0.023858
730.00	0.022770
731.00	0.020648
732.00	0.019678
733.00	0.018674
734.00	0.017925
735.00	0.017980
736.00	0.016118
737.00	0.015608
738.00	0.015770
739.00	0.014961
740.00	0.014403
741.00	0.013506
742.00	0.012809
743.00	0.012047
744.00	0.012905
745.00	0.012458
746.00	0.011322
747.00	0.012133
748.00	0.010284
749.00	0.010484
750.00	0.010537
751.00	0.010563
752.00	0.010284
753.00	0.0096104
754.00	0.010539
755.00	0.0094932
756.00	0.0091900
757.00	0.0085154
758.00	0.0090984
759.00	0.0093630
760.00	0.0093817
761.00	0.0094245
762.00	0.0083764
763.00	0.0075477
764.00	0.0082747
765.00	0.0082708
766.00	0.0082504
767.00	0.0076327
768.00	0.0081734
769.00	0.0080252
770.00	0.0072445
771.00	0.0079703
772.00	0.0067859
773.00	0.0079770
774.00	0.0077705
775.00	0.0076389
776.00	0.0081705
777.00	0.0079549
778.00	0.0073352
779.00	0.0068697
780.00	0.0066984
781.00	0.0074448
782.00	0.0075834
783.00	0.0081206
784.00	0.0062111
785.00	0.0070427
786.00	0.0071265
787.00	0.0071576
788.00	0.0069917
789.00	0.0070929
790.00	0.0072855
791.00	0.0069381
792.00	0.0067858
793.00	0.0075627
794.00	0.0071844
795.00	0.0065688
796.00	0.0066321
797.00	0.0072970
798.00	0.0081105
799.00	0.0073361
800.00	0.0070249
