Wavelength (nm)	368 ZnC15-PEG6 (SE503).ems
550.00	0.00010310
550.50	0.00013671
551.00	0.00022296
551.50	7.8677e-05
552.00	0.00022176
552.50	0.00021913
553.00	0.00039110
553.50	0.00010815
554.00	0.00010131
554.50	0.00017592
555.00	0.00025069
555.50	0.00010518
556.00	0.00033940
556.50	0.00031639
557.00	0.00026876
557.50	0.00047520
558.00	0.00036196
558.50	0.00033886
559.00	0.00038563
559.50	0.00040779
560.00	0.00028575
560.50	0.00025083
561.00	0.00020339
561.50	0.00033799
562.00	0.00016609
562.50	0.00018889
563.00	0.00028248
563.50	0.00028885
564.00	0.00024932
564.50	0.00053157
565.00	0.00042110
565.50	0.00037737
566.00	0.00050572
566.50	0.00052929
567.00	0.00051921
567.50	0.00026011
568.00	0.00036368
568.50	0.00034058
569.00	0.00041916
569.50	0.00048947
570.00	0.00033459
570.50	0.00049483
571.00	0.00066417
571.50	0.00054333
572.00	0.00050773
572.50	0.00078955
573.00	0.00054788
573.50	0.00092119
574.00	0.00064436
574.50	0.00060425
575.00	0.00074581
575.50	0.00082715
576.00	0.00084794
576.50	0.0010000
577.00	0.00071965
577.50	0.0011400
578.00	0.0011000
578.50	0.0011700
579.00	0.00097833
579.50	0.00096877
580.00	0.0010500
580.50	0.0013100
581.00	0.0014500
581.50	0.0012000
582.00	0.0014800
582.50	0.0014800
583.00	0.0013300
583.50	0.0015000
584.00	0.0017200
584.50	0.0020400
585.00	0.0019000
585.50	0.0017400
586.00	0.0020700
586.50	0.0022500
587.00	0.0025300
587.50	0.0025500
588.00	0.0027200
588.50	0.0029400
589.00	0.0030500
589.50	0.0030000
590.00	0.0030400
590.50	0.0034700
591.00	0.0033700
591.50	0.0038500
592.00	0.0040400
592.50	0.0042200
593.00	0.0044300
593.50	0.0045100
594.00	0.0050800
594.50	0.0051800
595.00	0.0052700
595.50	0.0055200
596.00	0.0062000
596.50	0.0069200
597.00	0.0072600
597.50	0.0077700
598.00	0.0081900
598.50	0.0093900
599.00	0.0095800
599.50	0.010730
600.00	0.011540
600.50	0.012180
601.00	0.013420
601.50	0.014770
602.00	0.016340
602.50	0.016920
603.00	0.018130
603.50	0.020110
604.00	0.022750
604.50	0.024720
605.00	0.027040
605.50	0.029650
606.00	0.033150
606.50	0.035290
607.00	0.038640
607.50	0.042260
608.00	0.045950
608.50	0.051890
609.00	0.056770
609.50	0.062960
610.00	0.069620
610.50	0.076840
611.00	0.083430
611.50	0.093000
612.00	0.10262
612.50	0.11201
613.00	0.12399
613.50	0.13556
614.00	0.15073
614.50	0.16768
615.00	0.18658
615.50	0.20464
616.00	0.22660
616.50	0.25067
617.00	0.27402
617.50	0.29963
618.00	0.32737
618.50	0.36332
619.00	0.39223
619.50	0.42925
620.00	0.46195
620.50	0.50099
621.00	0.54087
621.50	0.58004
622.00	0.62499
622.50	0.65069
623.00	0.69405
623.50	0.73403
624.00	0.76812
624.50	0.81679
625.00	0.83742
625.50	0.87490
626.00	0.90302
626.50	0.93147
627.00	0.95297
627.50	0.96588
628.00	0.98504
628.50	0.98659
629.00	0.98855
629.50	0.99020
630.00	1.0000
630.50	0.99609
631.00	0.98169
631.50	0.96852
632.00	0.95395
632.50	0.92570
633.00	0.90034
633.50	0.87587
634.00	0.84610
634.50	0.81539
635.00	0.77932
635.50	0.75144
636.00	0.72539
636.50	0.68800
637.00	0.65810
637.50	0.62832
638.00	0.60174
638.50	0.55704
639.00	0.53196
639.50	0.50572
640.00	0.49185
640.50	0.46630
641.00	0.44075
641.50	0.42236
642.00	0.39356
642.50	0.37710
643.00	0.35619
643.50	0.34598
644.00	0.32800
644.50	0.31491
645.00	0.29925
645.50	0.28740
646.00	0.27863
646.50	0.26523
647.00	0.25451
647.50	0.24142
648.00	0.23261
648.50	0.22348
649.00	0.21598
649.50	0.20840
650.00	0.20126
650.50	0.19732
651.00	0.19072
651.50	0.18725
652.00	0.18016
652.50	0.17528
653.00	0.17213
653.50	0.17386
654.00	0.16776
654.50	0.15994
655.00	0.15709
655.50	0.15419
656.00	0.15393
656.50	0.14826
657.00	0.15062
657.50	0.14773
658.00	0.14400
658.50	0.14257
659.00	0.14101
659.50	0.14045
660.00	0.13686
660.50	0.13541
661.00	0.13323
661.50	0.13290
662.00	0.12938
662.50	0.13218
663.00	0.12946
663.50	0.13100
664.00	0.12880
664.50	0.12981
665.00	0.12739
665.50	0.12689
666.00	0.12778
666.50	0.12471
667.00	0.12781
667.50	0.12489
668.00	0.12839
668.50	0.12336
669.00	0.12390
669.50	0.12468
670.00	0.12490
670.50	0.12650
671.00	0.12241
671.50	0.12219
672.00	0.12242
672.50	0.12372
673.00	0.12425
673.50	0.12417
674.00	0.12404
674.50	0.12208
675.00	0.12537
675.50	0.12549
676.00	0.12581
676.50	0.12192
677.00	0.12525
677.50	0.12768
678.00	0.12412
678.50	0.12587
679.00	0.12477
679.50	0.12449
680.00	0.12726
680.50	0.12435
681.00	0.12847
681.50	0.12533
682.00	0.12524
682.50	0.12693
683.00	0.12682
683.50	0.12500
684.00	0.12646
684.50	0.12584
685.00	0.12722
685.50	0.12813
686.00	0.12696
686.50	0.12757
687.00	0.12784
687.50	0.12428
688.00	0.12483
688.50	0.12190
689.00	0.12215
689.50	0.12220
690.00	0.11948
690.50	0.12037
691.00	0.12020
691.50	0.11643
692.00	0.11463
692.50	0.11646
693.00	0.11370
693.50	0.11112
694.00	0.10823
694.50	0.10800
695.00	0.10679
695.50	0.10569
696.00	0.10462
696.50	0.099280
697.00	0.094620
697.50	0.094980
698.00	0.095600
698.50	0.092420
699.00	0.089440
699.50	0.083340
700.00	0.085930
700.50	0.084770
701.00	0.081780
701.50	0.077340
702.00	0.079910
702.50	0.074810
703.00	0.072190
703.50	0.070180
704.00	0.066880
704.50	0.064620
705.00	0.064460
705.50	0.061490
706.00	0.056980
706.50	0.058760
707.00	0.058380
707.50	0.054250
708.00	0.050960
708.50	0.051920
709.00	0.050320
709.50	0.047240
710.00	0.045320
710.50	0.045260
711.00	0.041880
711.50	0.041910
712.00	0.040190
712.50	0.040020
713.00	0.036440
713.50	0.035750
714.00	0.034420
714.50	0.034820
715.00	0.034020
715.50	0.032340
716.00	0.032720
716.50	0.030130
717.00	0.028890
717.50	0.029350
718.00	0.028680
718.50	0.027190
719.00	0.028220
719.50	0.027940
720.00	0.028720
720.50	0.028950
721.00	0.026580
721.50	0.025900
722.00	0.024490
722.50	0.026640
723.00	0.025390
723.50	0.024460
724.00	0.023050
724.50	0.022170
725.00	0.024100
725.50	0.023960
726.00	0.023430
726.50	0.022340
727.00	0.021230
727.50	0.021770
728.00	0.022300
728.50	0.023750
729.00	0.021940
729.50	0.021350
730.00	0.021790
730.50	0.022890
731.00	0.021830
731.50	0.021560
732.00	0.020930
732.50	0.021000
733.00	0.020790
733.50	0.021220
734.00	0.021190
734.50	0.020170
735.00	0.020340
735.50	0.019520
736.00	0.019630
736.50	0.018210
737.00	0.019870
737.50	0.020430
738.00	0.018950
738.50	0.018670
739.00	0.019120
739.50	0.019140
740.00	0.020130
740.50	0.018000
741.00	0.019380
741.50	0.019980
742.00	0.018370
742.50	0.019090
743.00	0.018560
743.50	0.019260
744.00	0.017580
744.50	0.018200
745.00	0.019680
745.50	0.018850
746.00	0.018600
746.50	0.018900
747.00	0.017960
747.50	0.019310
748.00	0.016600
748.50	0.017100
749.00	0.017340
749.50	0.017910
750.00	0.018940
750.50	0.018970
751.00	0.017720
751.50	0.016970
752.00	0.016710
752.50	0.017890
753.00	0.019150
753.50	0.016580
754.00	0.015280
754.50	0.016850
755.00	0.018230
755.50	0.017350
756.00	0.016310
756.50	0.016630
757.00	0.017020
757.50	0.017690
758.00	0.016430
758.50	0.017820
759.00	0.016800
759.50	0.016410
760.00	0.016710
760.50	0.016880
761.00	0.015540
761.50	0.017720
762.00	0.016650
762.50	0.017310
763.00	0.015280
763.50	0.016000
764.00	0.015770
764.50	0.014100
765.00	0.015480
765.50	0.015650
766.00	0.014570
766.50	0.016600
767.00	0.016500
767.50	0.014910
768.00	0.016450
768.50	0.016200
769.00	0.015400
769.50	0.016760
770.00	0.015890
770.50	0.014320
771.00	0.015330
771.50	0.013680
772.00	0.015220
772.50	0.014780
773.00	0.015470
773.50	0.016310
774.00	0.015810
774.50	0.014220
775.00	0.014710
775.50	0.015350
776.00	0.014750
776.50	0.014440
777.00	0.015540
777.50	0.015920
778.00	0.015060
778.50	0.014130
779.00	0.017090
779.50	0.015290
780.00	0.015680
780.50	0.015000
781.00	0.015740
781.50	0.015140
782.00	0.015890
782.50	0.016200
783.00	0.014840
783.50	0.014860
784.00	0.016540
784.50	0.015900
785.00	0.015250
785.50	0.014790
786.00	0.015080
786.50	0.014580
787.00	0.016490
787.50	0.015860
788.00	0.015070
788.50	0.015980
789.00	0.015800
789.50	0.014440
790.00	0.013920
790.50	0.014800
791.00	0.014850
791.50	0.016340
792.00	0.014300
792.50	0.016760
793.00	0.015410
793.50	0.017420
794.00	0.015570
794.50	0.015960
795.00	0.016080
795.50	0.015920
796.00	0.015650
796.50	0.016010
797.00	0.015840
797.50	0.016750
798.00	0.016000
798.50	0.015290
799.00	0.015620
799.50	0.016500
800.00	0.014420
