Wavelength (nm)	Toly I (2017)
300.00	0.13149
301.00	0.13148
302.00	0.13133
303.00	0.13136
304.00	0.13141
305.00	0.13179
306.00	0.13182
307.00	0.13208
308.00	0.13192
309.00	0.13184
310.00	0.13136
311.00	0.13034
312.00	0.12900
313.00	0.12714
314.00	0.12529
315.00	0.12217
316.00	0.11873
317.00	0.11398
318.00	0.10972
319.00	0.10547
320.00	0.10070
321.00	0.095463
322.00	0.090285
323.00	0.086206
324.00	0.082788
325.00	0.079838
326.00	0.077086
327.00	0.074857
328.00	0.073428
329.00	0.072547
330.00	0.072135
331.00	0.071578
332.00	0.071511
333.00	0.071705
334.00	0.071976
335.00	0.072306
336.00	0.073180
337.00	0.074536
338.00	0.075863
339.00	0.077156
340.00	0.078711
341.00	0.080940
342.00	0.083644
343.00	0.086240
344.00	0.088702
345.00	0.091717
346.00	0.094519
347.00	0.098006
348.00	0.10198
349.00	0.10539
350.00	0.10976
351.00	0.11419
352.00	0.11967
353.00	0.12522
354.00	0.13024
355.00	0.13579
356.00	0.14236
357.00	0.15072
358.00	0.15942
359.00	0.16550
360.00	0.17627
361.00	0.18678
362.00	0.19905
363.00	0.21095
364.00	0.22251
365.00	0.23913
366.00	0.25443
367.00	0.27360
368.00	0.29163
369.00	0.30927
370.00	0.32594
371.00	0.34355
372.00	0.36281
373.00	0.38137
374.00	0.39862
375.00	0.41426
376.00	0.43191
377.00	0.45280
378.00	0.47196
379.00	0.49128
380.00	0.51218
381.00	0.53605
382.00	0.56413
383.00	0.59096
384.00	0.61939
385.00	0.64576
386.00	0.67481
387.00	0.70929
388.00	0.74718
389.00	0.78413
390.00	0.81580
391.00	0.85731
392.00	0.89670
393.00	0.92876
394.00	0.96389
395.00	0.98306
396.00	0.99618
397.00	1.0000
398.00	0.99809
399.00	0.99019
400.00	0.97434
401.00	0.95528
402.00	0.92520
403.00	0.89041
404.00	0.84187
405.00	0.79169
406.00	0.74048
407.00	0.67900
408.00	0.61646
409.00	0.53983
410.00	0.47177
411.00	0.42314
412.00	0.36491
413.00	0.31779
414.00	0.26801
415.00	0.22682
416.00	0.19389
417.00	0.16660
418.00	0.14421
419.00	0.12100
420.00	0.10323
421.00	0.089289
422.00	0.078693
423.00	0.070389
424.00	0.061795
425.00	0.053477
426.00	0.047639
427.00	0.042991
428.00	0.038554
429.00	0.034434
430.00	0.030286
431.00	0.026712
432.00	0.023601
433.00	0.021490
434.00	0.018741
435.00	0.016313
436.00	0.013843
437.00	0.012133
438.00	0.010306
439.00	0.0088645
440.00	0.0076231
441.00	0.0063627
442.00	0.0054030
443.00	0.0046831
444.00	0.0040986
445.00	0.0039654
446.00	0.0035702
447.00	0.0036088
448.00	0.0032621
449.00	0.0032111
450.00	0.0032055
451.00	0.0031584
452.00	0.0034601
453.00	0.0033265
454.00	0.0034463
455.00	0.0037624
456.00	0.0038749
457.00	0.0040493
458.00	0.0043187
459.00	0.0048851
460.00	0.0052372
461.00	0.0053953
462.00	0.0060325
463.00	0.0068843
464.00	0.0077227
465.00	0.0083474
466.00	0.0091827
467.00	0.0099428
468.00	0.010933
469.00	0.011777
470.00	0.012694
471.00	0.013489
472.00	0.014246
473.00	0.015145
474.00	0.015909
475.00	0.016645
476.00	0.017261
477.00	0.017668
478.00	0.017934
479.00	0.018186
480.00	0.018306
481.00	0.018465
482.00	0.018350
483.00	0.018323
484.00	0.018275
485.00	0.017488
486.00	0.017498
487.00	0.017509
488.00	0.017483
489.00	0.017590
490.00	0.018235
491.00	0.019245
492.00	0.019803
493.00	0.020277
494.00	0.021680
495.00	0.023387
496.00	0.024859
497.00	0.026452
498.00	0.027655
499.00	0.028922
500.00	0.029998
501.00	0.030889
502.00	0.031676
503.00	0.032040
504.00	0.032064
505.00	0.031609
506.00	0.031015
507.00	0.030129
508.00	0.028938
509.00	0.027664
510.00	0.026530
511.00	0.024990
512.00	0.023510
513.00	0.021718
514.00	0.020220
515.00	0.018671
516.00	0.017486
517.00	0.016163
518.00	0.015091
519.00	0.013796
520.00	0.012918
521.00	0.012155
522.00	0.011700
523.00	0.011164
524.00	0.011000
525.00	0.010754
526.00	0.010738
527.00	0.010687
528.00	0.011306
529.00	0.011782
530.00	0.012035
531.00	0.013450
532.00	0.015008
533.00	0.016356
534.00	0.017937
535.00	0.019534
536.00	0.021847
537.00	0.023875
538.00	0.025371
539.00	0.026967
540.00	0.028256
541.00	0.029375
542.00	0.029902
543.00	0.030303
544.00	0.030448
545.00	0.030226
546.00	0.030064
547.00	0.029411
548.00	0.028499
549.00	0.027556
550.00	0.026565
551.00	0.025388
552.00	0.024282
553.00	0.023005
554.00	0.021584
555.00	0.020068
556.00	0.018644
557.00	0.017238
558.00	0.015930
559.00	0.014663
560.00	0.013485
561.00	0.012504
562.00	0.011705
563.00	0.011045
564.00	0.010630
565.00	0.0098819
566.00	0.0093754
567.00	0.0090852
568.00	0.0088097
569.00	0.0087949
570.00	0.0087356
571.00	0.0088711
572.00	0.0082786
573.00	0.0078122
574.00	0.0076805
575.00	0.0070991
576.00	0.0073149
577.00	0.0072078
578.00	0.0069161
579.00	0.0065324
580.00	0.0061889
581.00	0.0057952
582.00	0.0053901
583.00	0.0051039
584.00	0.0047929
585.00	0.0045509
586.00	0.0043540
587.00	0.0044069
588.00	0.0042430
589.00	0.0044417
590.00	0.0043792
591.00	0.0045423
592.00	0.0044081
593.00	0.0042329
594.00	0.0045941
595.00	0.0047467
596.00	0.0051352
597.00	0.0051896
598.00	0.0051830
599.00	0.0055522
600.00	0.0055767
601.00	0.0059482
602.00	0.0063549
603.00	0.0062799
604.00	0.0064825
605.00	0.0067120
606.00	0.0068669
607.00	0.0071119
608.00	0.0074636
609.00	0.0082457
610.00	0.0091408
611.00	0.010244
612.00	0.012110
613.00	0.014350
614.00	0.016953
615.00	0.019871
616.00	0.021754
617.00	0.023436
618.00	0.023744
619.00	0.023548
620.00	0.023215
621.00	0.023118
622.00	0.023406
623.00	0.024116
624.00	0.025103
625.00	0.024875
626.00	0.024689
627.00	0.024010
628.00	0.022765
629.00	0.022177
630.00	0.021417
631.00	0.020293
632.00	0.019033
633.00	0.018177
634.00	0.016800
635.00	0.015880
636.00	0.015171
637.00	0.014909
638.00	0.014700
639.00	0.014325
640.00	0.015075
641.00	0.015563
642.00	0.016648
643.00	0.018300
644.00	0.020458
645.00	0.023759
646.00	0.026506
647.00	0.029115
648.00	0.030905
649.00	0.031995
650.00	0.031301
651.00	0.030462
652.00	0.029413
653.00	0.028253
654.00	0.027709
655.00	0.028283
656.00	0.029974
657.00	0.032059
658.00	0.034263
659.00	0.037901
660.00	0.041184
661.00	0.043817
662.00	0.047181
663.00	0.049716
664.00	0.052813
665.00	0.055261
666.00	0.057793
667.00	0.059063
668.00	0.059925
669.00	0.060752
670.00	0.061619
671.00	0.064362
672.00	0.069949
673.00	0.080883
674.00	0.097624
675.00	0.12093
676.00	0.15399
677.00	0.19596
678.00	0.25456
679.00	0.32247
680.00	0.37794
681.00	0.40873
682.00	0.40976
683.00	0.38605
684.00	0.34712
685.00	0.29458
686.00	0.24474
687.00	0.19261
688.00	0.14775
689.00	0.11374
690.00	0.088380
691.00	0.066675
692.00	0.050579
693.00	0.038235
694.00	0.027952
695.00	0.020703
696.00	0.016349
697.00	0.012226
698.00	0.0098671
699.00	0.0079487
700.00	0.0065194
701.00	0.0048287
702.00	0.0042146
703.00	0.0032759
704.00	0.0031332
705.00	0.0027605
706.00	0.0024899
707.00	0.0024265
708.00	0.0022889
709.00	0.0021818
710.00	0.0020899
711.00	0.0022743
712.00	0.0014166
713.00	0.0016496
714.00	0.0011826
715.00	0.0012421
716.00	0.0014647
717.00	0.00092482
718.00	0.00075756
719.00	0.00096079
720.00	0.00069674
721.00	0.00088694
722.00	0.0013185
723.00	0.00087307
724.00	0.00080267
725.00	0.00070632
726.00	0.00040149
727.00	8.2556e-05
728.00	0.00011263
729.00	0.00087142
730.00	0.00086435
731.00	0.00029875
732.00	0.00027953
733.00	0.00092333
734.00	0.00065601
735.00	0.00048942
736.00	0.00086561
737.00	0.00046701
738.00	0.0012276
739.00	0.00065844
740.00	0.00025016
741.00	0.00056090
742.00	-0.00016824
743.00	0.00043670
744.00	0.00046428
745.00	0.00073286
746.00	7.6980e-05
747.00	0.00025358
748.00	-5.2691e-05
749.00	0.00029055
750.00	-6.4170e-05
751.00	-0.00021905
752.00	0.00027781
753.00	5.6688e-05
754.00	8.6854e-05
755.00	0.00061523
756.00	0.00023716
757.00	-0.00055163
758.00	0.00058886
759.00	-6.4705e-05
760.00	-0.00048081
761.00	-0.00021441
762.00	0.00032204
763.00	0.00053152
764.00	0.00050242
765.00	0.00070860
766.00	0.00076691
767.00	0.00043565
