Wavelength (nm)	Toly L+M (2020)
300.00	0.076032
301.00	0.074020
302.00	0.073621
303.00	0.071650
304.00	0.069225
305.00	0.066830
306.00	0.062857
307.00	0.060013
308.00	0.057184
309.00	0.053980
310.00	0.050794
311.00	0.047791
312.00	0.045308
313.00	0.043632
314.00	0.041746
315.00	0.039687
316.00	0.038601
317.00	0.037970
318.00	0.038561
319.00	0.038488
320.00	0.037772
321.00	0.037039
322.00	0.038402
323.00	0.035950
324.00	0.035596
325.00	0.037584
326.00	0.039497
327.00	0.040761
328.00	0.041030
329.00	0.043020
330.00	0.043198
331.00	0.043055
332.00	0.044087
333.00	0.044960
334.00	0.044924
335.00	0.045694
336.00	0.045605
337.00	0.046633
338.00	0.044539
339.00	0.045952
340.00	0.045860
341.00	0.047294
342.00	0.048990
343.00	0.050401
344.00	0.053103
345.00	0.056219
346.00	0.059127
347.00	0.062067
348.00	0.066790
349.00	0.067913
350.00	0.070506
351.00	0.073319
352.00	0.078755
353.00	0.079594
354.00	0.084374
355.00	0.084872
356.00	0.089631
357.00	0.094384
358.00	0.098775
359.00	0.10212
360.00	0.10787
361.00	0.11324
362.00	0.12011
363.00	0.12527
364.00	0.13216
365.00	0.14142
366.00	0.15379
367.00	0.16652
368.00	0.17966
369.00	0.18947
370.00	0.20400
371.00	0.21961
372.00	0.23578
373.00	0.24456
374.00	0.25730
375.00	0.27017
376.00	0.28255
377.00	0.29701
378.00	0.30745
379.00	0.32016
380.00	0.33441
381.00	0.34889
382.00	0.36703
383.00	0.38540
384.00	0.40266
385.00	0.42658
386.00	0.45219
387.00	0.48506
388.00	0.51921
389.00	0.55063
390.00	0.59001
391.00	0.62705
392.00	0.66670
393.00	0.70115
394.00	0.73334
395.00	0.75957
396.00	0.79041
397.00	0.83546
398.00	0.87774
399.00	0.92052
400.00	0.95687
401.00	0.98495
402.00	1.0000
403.00	0.99212
404.00	0.96403
405.00	0.91535
406.00	0.84889
407.00	0.76061
408.00	0.66053
409.00	0.55772
410.00	0.47926
411.00	0.39380
412.00	0.32288
413.00	0.26483
414.00	0.21539
415.00	0.18082
416.00	0.15716
417.00	0.13566
418.00	0.11900
419.00	0.10399
420.00	0.091724
421.00	0.080828
422.00	0.069175
423.00	0.059006
424.00	0.048419
425.00	0.040115
426.00	0.034658
427.00	0.028103
428.00	0.023903
429.00	0.019815
430.00	0.016204
431.00	0.014231
432.00	0.012362
433.00	0.011018
434.00	0.0096473
435.00	0.0084089
436.00	0.0077906
437.00	0.0071840
438.00	0.0065335
439.00	0.0064421
440.00	0.0062155
441.00	0.0059622
442.00	0.0054284
443.00	0.0053424
444.00	0.0053893
445.00	0.0052797
446.00	0.0053295
447.00	0.0054901
448.00	0.0055583
449.00	0.0055603
450.00	0.0060228
451.00	0.0059852
452.00	0.0063147
453.00	0.0060422
454.00	0.0061734
455.00	0.0066781
456.00	0.0066942
457.00	0.0068248
458.00	0.0071697
459.00	0.0072116
460.00	0.0075636
461.00	0.0073842
462.00	0.0077682
463.00	0.0082639
464.00	0.0089595
465.00	0.0095572
466.00	0.010071
467.00	0.010623
468.00	0.011903
469.00	0.012656
470.00	0.013180
471.00	0.014612
472.00	0.015183
473.00	0.015912
474.00	0.016894
475.00	0.017467
476.00	0.018379
477.00	0.019214
478.00	0.019380
479.00	0.019671
480.00	0.019406
481.00	0.020028
482.00	0.019358
483.00	0.019271
484.00	0.018359
485.00	0.017791
486.00	0.018069
487.00	0.018483
488.00	0.018374
489.00	0.018229
490.00	0.019066
491.00	0.019864
492.00	0.019942
493.00	0.020277
494.00	0.021827
495.00	0.022864
496.00	0.024260
497.00	0.025463
498.00	0.026256
499.00	0.027412
500.00	0.028344
501.00	0.029269
502.00	0.029827
503.00	0.029940
504.00	0.030249
505.00	0.029580
506.00	0.028700
507.00	0.027856
508.00	0.026919
509.00	0.025793
510.00	0.024185
511.00	0.022641
512.00	0.020894
513.00	0.019399
514.00	0.018081
515.00	0.016996
516.00	0.016058
517.00	0.015056
518.00	0.013557
519.00	0.012498
520.00	0.012055
521.00	0.011946
522.00	0.011348
523.00	0.010700
524.00	0.010251
525.00	0.0099749
526.00	0.0097134
527.00	0.0098808
528.00	0.010655
529.00	0.011385
530.00	0.011924
531.00	0.013019
532.00	0.014036
533.00	0.015527
534.00	0.016053
535.00	0.017287
536.00	0.019728
537.00	0.020718
538.00	0.021672
539.00	0.023483
540.00	0.024665
541.00	0.026275
542.00	0.026482
543.00	0.027980
544.00	0.028406
545.00	0.029204
546.00	0.029979
547.00	0.029848
548.00	0.029171
549.00	0.028621
550.00	0.028367
551.00	0.027435
552.00	0.026805
553.00	0.025293
554.00	0.023654
555.00	0.022038
556.00	0.020342
557.00	0.018319
558.00	0.017007
559.00	0.015755
560.00	0.014488
561.00	0.013672
562.00	0.012786
563.00	0.011842
564.00	0.011466
565.00	0.011321
566.00	0.011621
567.00	0.011572
568.00	0.011682
569.00	0.011681
570.00	0.011113
571.00	0.010680
572.00	0.010090
573.00	0.0096325
574.00	0.0091391
575.00	0.0089580
576.00	0.0078747
577.00	0.0073037
578.00	0.0066956
579.00	0.0063318
580.00	0.0055740
581.00	0.0056085
582.00	0.0052933
583.00	0.0048409
584.00	0.0053604
585.00	0.0049827
586.00	0.0049876
587.00	0.0054231
588.00	0.0053808
589.00	0.0044475
590.00	0.0043300
591.00	0.0044101
592.00	0.0046231
593.00	0.0069056
594.00	0.0054283
595.00	0.0057605
596.00	0.0047495
597.00	0.0044185
598.00	0.0036013
599.00	0.0033746
600.00	0.0032668
601.00	0.0031360
602.00	0.0029984
603.00	0.0031377
604.00	0.0038296
605.00	0.0041631
606.00	0.0047354
607.00	0.0059764
608.00	0.0078992
609.00	0.010275
610.00	0.013736
611.00	0.016866
612.00	0.021401
613.00	0.023587
614.00	0.025272
615.00	0.025335
616.00	0.022819
617.00	0.023374
618.00	0.021757
619.00	0.023967
620.00	0.025577
621.00	0.025738
622.00	0.024570
623.00	0.023540
624.00	0.022105
625.00	0.020998
626.00	0.019943
627.00	0.018643
628.00	0.018651
629.00	0.017416
630.00	0.016270
631.00	0.015323
632.00	0.015949
633.00	0.014831
634.00	0.014677
635.00	0.014079
636.00	0.014069
637.00	0.013948
638.00	0.014280
639.00	0.016162
640.00	0.017446
641.00	0.019995
642.00	0.021859
643.00	0.025572
644.00	0.026906
645.00	0.028008
646.00	0.026201
647.00	0.025350
648.00	0.021130
649.00	0.017684
650.00	0.014087
651.00	0.011869
652.00	0.0097657
653.00	0.0088865
654.00	0.0084178
655.00	0.0084835
656.00	0.0080469
657.00	0.0084056
658.00	0.0081828
659.00	0.0090435
660.00	0.0093700
661.00	0.0086698
662.00	0.012146
663.00	0.014679
664.00	0.017825
665.00	0.020874
666.00	0.025334
667.00	0.030848
