Wavelength (nm)	2, diOxo-OEBC ZF
300.00	0.091989
301.00	0.091728
302.00	0.091464
303.00	0.091201
304.00	0.090937
305.00	0.090673
306.00	0.089815
307.00	0.088852
308.00	0.087889
309.00	0.086296
310.00	0.083002
311.00	0.079708
312.00	0.076037
313.00	0.071528
314.00	0.067019
315.00	0.063104
316.00	0.059758
317.00	0.056412
318.00	0.053245
319.00	0.052139
320.00	0.051033
321.00	0.049927
322.00	0.048821
323.00	0.048031
324.00	0.047697
325.00	0.047362
326.00	0.047027
327.00	0.046692
328.00	0.046585
329.00	0.047097
330.00	0.047609
331.00	0.048120
332.00	0.048632
333.00	0.049143
334.00	0.049682
335.00	0.050235
336.00	0.050787
337.00	0.051340
338.00	0.051892
339.00	0.052445
340.00	0.053146
341.00	0.054042
342.00	0.054939
343.00	0.055835
344.00	0.056732
345.00	0.057628
346.00	0.059118
347.00	0.060899
348.00	0.062680
349.00	0.064461
350.00	0.066311
351.00	0.068518
352.00	0.070725
353.00	0.072932
354.00	0.075656
355.00	0.079854
356.00	0.084053
357.00	0.088251
358.00	0.092449
359.00	0.097527
360.00	0.10290
361.00	0.10827
362.00	0.11364
363.00	0.11909
364.00	0.12454
365.00	0.13000
366.00	0.13545
367.00	0.14258
368.00	0.15013
369.00	0.15768
370.00	0.16656
371.00	0.17762
372.00	0.18867
373.00	0.20023
374.00	0.21586
375.00	0.23149
376.00	0.24713
377.00	0.26701
378.00	0.28693
379.00	0.30572
380.00	0.32233
381.00	0.33894
382.00	0.35555
383.00	0.37104
384.00	0.38643
385.00	0.40183
386.00	0.41996
387.00	0.44094
388.00	0.46193
389.00	0.48614
390.00	0.51520
391.00	0.54426
392.00	0.57738
393.00	0.62209
394.00	0.66680
395.00	0.70906
396.00	0.75059
397.00	0.79007
398.00	0.82134
399.00	0.85104
400.00	0.87445
401.00	0.89786
402.00	0.91908
403.00	0.93935
404.00	0.95963
405.00	0.97671
406.00	0.99342
407.00	1.0000
408.00	0.99736
409.00	0.98267
410.00	0.93367
411.00	0.83999
412.00	0.73331
413.00	0.61902
414.00	0.51956
415.00	0.42454
416.00	0.34374
417.00	0.27282
418.00	0.20190
419.00	0.15812
420.00	0.12340
421.00	0.10664
422.00	0.094376
423.00	0.082111
424.00	0.069847
425.00	0.061708
426.00	0.054185
427.00	0.046661
428.00	0.039138
429.00	0.035014
430.00	0.030959
431.00	0.026904
432.00	0.022849
433.00	0.019382
434.00	0.017224
435.00	0.015066
436.00	0.012908
437.00	0.010750
438.00	0.0099234
439.00	0.0094507
440.00	0.0089780
441.00	0.0085053
442.00	0.0080327
443.00	0.0075600
444.00	0.0071690
445.00	0.0068098
446.00	0.0064506
447.00	0.0060914
448.00	0.0057322
449.00	0.0053730
450.00	0.0051620
451.00	0.0052520
452.00	0.0053419
453.00	0.0054319
454.00	0.0055218
455.00	0.0056118
456.00	0.0057017
457.00	0.0057062
458.00	0.0057062
459.00	0.0057062
460.00	0.0057062
461.00	0.0057062
462.00	0.0057062
463.00	0.0057378
464.00	0.0060888
465.00	0.0064397
466.00	0.0067907
467.00	0.0071416
468.00	0.0074926
469.00	0.0078435
470.00	0.0083197
471.00	0.0088983
472.00	0.0094770
473.00	0.010056
474.00	0.010634
475.00	0.011213
476.00	0.012561
477.00	0.014421
478.00	0.016281
479.00	0.018141
480.00	0.019422
481.00	0.020299
482.00	0.021176
483.00	0.021917
484.00	0.022367
485.00	0.022818
486.00	0.023123
487.00	0.022846
488.00	0.022570
489.00	0.021975
490.00	0.021300
491.00	0.020632
492.00	0.019965
493.00	0.019298
494.00	0.018682
495.00	0.018141
496.00	0.017601
497.00	0.017060
498.00	0.016519
499.00	0.016132
500.00	0.016867
501.00	0.017602
502.00	0.018338
503.00	0.019295
504.00	0.020995
505.00	0.022696
506.00	0.024396
507.00	0.026188
508.00	0.028395
509.00	0.030602
510.00	0.032170
511.00	0.033134
512.00	0.033616
513.00	0.033564
514.00	0.033107
515.00	0.031950
516.00	0.030696
517.00	0.028850
518.00	0.027004
519.00	0.025158
520.00	0.023128
521.00	0.020832
522.00	0.018537
523.00	0.016838
524.00	0.015199
525.00	0.013585
526.00	0.012181
527.00	0.010778
528.00	0.0093737
529.00	0.0089359
530.00	0.0086819
531.00	0.0084280
532.00	0.0081741
533.00	0.0080436
534.00	0.0081752
535.00	0.0083068
536.00	0.0084385
537.00	0.0085701
538.00	0.0097082
539.00	0.010888
540.00	0.012068
541.00	0.013317
542.00	0.015475
543.00	0.017633
544.00	0.019792
545.00	0.021950
546.00	0.025193
547.00	0.029322
548.00	0.033452
549.00	0.037020
550.00	0.040534
551.00	0.044047
552.00	0.046941
553.00	0.049164
554.00	0.049962
555.00	0.050111
556.00	0.049156
557.00	0.047009
558.00	0.044378
559.00	0.040691
560.00	0.037004
561.00	0.032992
562.00	0.028878
563.00	0.024760
564.00	0.020612
565.00	0.016464
566.00	0.012887
567.00	0.0096607
568.00	0.0068339
569.00	0.0066805
570.00	0.0065271
571.00	0.0063736
572.00	0.0065102
573.00	0.0071002
574.00	0.0076903
575.00	0.0082803
576.00	0.0088587
577.00	0.0094254
578.00	0.0099922
579.00	0.010559
580.00	0.010928
581.00	0.011055
582.00	0.011182
583.00	0.011309
584.00	0.011435
585.00	0.011063
586.00	0.010653
587.00	0.010243
588.00	0.0098336
589.00	0.0093642
590.00	0.0088727
591.00	0.0083812
592.00	0.0078897
593.00	0.0074355
594.00	0.0075672
595.00	0.0076988
596.00	0.0078304
597.00	0.0079620
598.00	0.0079156
599.00	0.0077930
600.00	0.0076704
601.00	0.0075478
602.00	0.0074191
603.00	0.0069941
604.00	0.0065691
605.00	0.0061440
606.00	0.0057190
607.00	0.0054753
608.00	0.0052372
609.00	0.0049990
610.00	0.0047609
611.00	0.0046138
612.00	0.0049825
613.00	0.0053511
614.00	0.0057197
615.00	0.0060883
616.00	0.0069224
617.00	0.0082608
618.00	0.0095991
619.00	0.010979
620.00	0.013154
621.00	0.015329
622.00	0.017504
623.00	0.019578
624.00	0.021592
625.00	0.023606
626.00	0.025330
627.00	0.025897
628.00	0.026463
629.00	0.027030
630.00	0.027535
631.00	0.027688
632.00	0.027842
633.00	0.027995
634.00	0.028528
635.00	0.029607
636.00	0.030687
637.00	0.032120
638.00	0.034810
639.00	0.037500
640.00	0.040175
641.00	0.042164
642.00	0.044152
643.00	0.044613
644.00	0.045074
645.00	0.045018
646.00	0.044466
647.00	0.042555
648.00	0.040061
649.00	0.038487
650.00	0.037144
651.00	0.035800
652.00	0.035355
653.00	0.035120
654.00	0.034886
655.00	0.036881
656.00	0.037587
657.00	0.038117
658.00	0.037060
659.00	0.034759
660.00	0.029409
661.00	0.025009
662.00	0.020900
663.00	0.017452
664.00	0.014187
665.00	0.012780
666.00	0.011374
667.00	0.010189
668.00	0.0093810
669.00	0.0085730
670.00	0.0077650
671.00	0.0085887
672.00	0.0094630
673.00	0.010337
674.00	0.011692
675.00	0.013798
676.00	0.015903
677.00	0.018546
678.00	0.025127
679.00	0.031707
680.00	0.044355
681.00	0.063313
682.00	0.095997
683.00	0.13881
684.00	0.18583
685.00	0.23565
686.00	0.28741
687.00	0.34055
688.00	0.39410
689.00	0.43054
690.00	0.44469
691.00	0.44570
692.00	0.43205
693.00	0.39870
694.00	0.33422
695.00	0.27183
696.00	0.21627
697.00	0.16140
698.00	0.10817
699.00	0.073901
700.00	0.051255
701.00	0.033446
702.00	0.024795
703.00	0.016818
704.00	0.013785
705.00	0.010752
706.00	0.0085092
707.00	0.0072730
708.00	0.0060368
709.00	0.0049697
710.00	0.0042897
711.00	0.0041058
712.00	0.0039220
713.00	0.0037381
714.00	0.0035543
715.00	0.0033704
716.00	0.0034327
717.00	0.0036005
718.00	0.0037683
719.00	0.0039195
720.00	0.0040677
721.00	0.0042159
722.00	0.0041019
723.00	0.0039851
724.00	0.0038684
725.00	0.0036941
726.00	0.0034177
727.00	0.0031412
728.00	0.0028648
729.00	0.0025883
730.00	0.0023310
731.00	0.0021673
732.00	0.0020035
733.00	0.0018398
734.00	0.0016760
735.00	0.0015122
736.00	0.0013886
737.00	0.0013464
738.00	0.0013041
739.00	0.0012619
740.00	0.0012197
741.00	0.0011775
742.00	0.0011532
743.00	0.0011314
744.00	0.0011096
745.00	0.0010878
746.00	0.0010660
747.00	0.0010436
748.00	0.0010198
749.00	0.00099607
750.00	0.00097232
751.00	0.00094857
752.00	0.00092483
753.00	0.00092435
754.00	0.00092435
755.00	0.00092435
756.00	0.00092435
757.00	0.00092435
758.00	0.00092435
759.00	0.00092435
760.00	0.00092435
761.00	0.00092435
762.00	0.00092435
763.00	0.00092435
764.00	0.00092435
765.00	0.00092435
766.00	0.00092435
767.00	0.00092435
768.00	0.00092435
769.00	0.00092435
770.00	0.00092435
771.00	0.00092435
772.00	0.00092435
773.00	0.00092435
774.00	0.00092435
775.00	0.00092435
776.00	0.00092435
777.00	0.00092435
778.00	0.00092435
779.00	0.00092435
780.00	0.00092435
781.00	0.00092435
782.00	0.00092435
783.00	0.00092435
784.00	0.00092435
785.00	0.00092435
786.00	0.00092435
787.00	0.00092435
788.00	0.00092435
789.00	0.00092435
790.00	0.00092435
791.00	0.00092435
792.00	0.00092435
793.00	0.00092435
794.00	0.00092435
795.00	0.00092435
796.00	0.00092435
797.00	0.00092435
798.00	0.00092435
799.00	0.00092435
800.00	0.00092435
